Text,Stemming,True Label,Predicted Label,Correct;;
lagi rame perihal danantara orang jadi latah tbtb pada jago jadi analis makro ,rame perihal danantara orang latah tbtb jago analis makro,2,0,False;;
@KompasTV Uang di danantara masih banyak,uang danantara,2,0,False;;
Visi misi Danantara https://t.co/s5Xge7h8mZ,visi misi danantara,2,0,False;;
@thelakeshadow Sikap tegas Danantara menepis isu yang tidak berdasar.,sikap danantara menep isu dasar,1,0,False;;
Bjir.... saham anjlok nyimpen di bank jadi danantara sekarang nyimpen uang berupa emas juga digangguin. Ini kayaknya pengen masyarakat nyimpen uang di celengan babi aja deh.,bjir saham anjlok nyimpen bank danantara nyimpen uang emas digangguin kayak ken masyarakat nyimpen uang celengan babi aja deh,0,2,False;;
@shitlicious Danantara sama pertamina masih berkaitan sih,danantara pertamina kait sih,2,0,False;;
1/ Pernah denger kabar Om Ray Dalio mau resign dari Danantara ? Di tengah kabar itu beliau justru ngasih wejangan penting soal rekrutmen. Katanya jangan pernah kasih jabatan ke orang cuma karena relasi atau pengaruhnya doang!,1 denger kabar om ray dalio resign danantara kabar beliau ngasih wejang rekrutmen kasih jabat orang relasi pengaruh doang,2,0,False;;
@tijabar Tetep kawal Danantara tagih jawaban pemerintah atas tuntutan massa aksi Indonesia Gelap dan tetep kawal kasus Tom Lembong,tetep kawal danantara tagih perintah tuntut massa aksi indonesia gelap tetep kawal tom lembong,2,0,False;;
@__AnakKolong Maksudnya awasi aseng yg di danantara ,maksud awas aseng yg danantara,2,0,False;;
@pelajaranhidups @prastow Bener. Cuma ini ngaruh ke persepsi terhadap danantara kan harusnya.,bener ngaruh persepsi danantara,2,0,False;;
@iyantelkomsel real gatel bgt ngatain goblok depan matanya aku bahas danantara aja masih hah heh hoh,real gatel bgt ngatain goblok mata bahas danantara aja hah heh hoh,2,0,False;;
@ARSIPAJA Tapi mereka jadi pengarah... artinya ya danantara didikte asing,arah ya danantara dikte asing,1,0,False;;
Danantara Dapat Menjadi Motor Utama Dalam Pendanaan Proyek Energi Baru Terbarukan https://t.co/0HxahSK4sr,danantara motor utama dana proyek energi baru,1,0,False;;
highlights hari ini: - lebaran di rumah keluarga mamas. ngga full team tapi tetap hangat berkesan - dining table deep talk ihwal perekonomian negara bareng pakpuh. kami ngobrolin merosotnya IHSG investasi danantara potensi krisis hingga intimidasi media sambil makan opor.,highlights lebaran rumah keluarga mamas ngga full team hangat kesan ning table deep talk ihwal ekonomi negara bareng pakpuh ngobrolin merosot ihsg investasi danantara potensi krisis intimidasi media makan opor,2,0,False;;
Tony Blair Resmi Dilantik sebagai Anggota Dewan Pengawas BPI Danantara - https://t.co/uUlVXM8AmY https://t.co/A9iN45MJkx,tony blair resmi lantik anggota dewan awas bpi danantara,2,0,False;;
Chief Investment Officer Danantara Indonesia Pandu Sjahrir mengatakan kemitraan strategis ini bertujuan untuk mengembangkan ekosistem bahan baku baterai kendaraan listrik (electric vehicle/EV) yang berkelanjutan dan terintegrasi di Indonesia https://t.co/3LUVBLTSld,chief investment officer danantara indonesia pandu sjahrir mitra strategis tuju kembang ekosistem bahan baku baterai kendara listrik electric vehicleev lanjut integrasi indonesia,2,1,False;;
transisisi pemindahan kekuasaan ngefek banget ternyata jadi wait n see ngeliat kedepannya di danantara ini,transisisi pindah kuasa ngefek banget wait n see ngeliat depan danantara,2,0,False;;
CEO BPI Danantara Rosan Roeslani menegaskan bahwa investasi yang dikelola badan tersebut akan dilakukan dengan prinsip transparansi kehati-hatian dan integritas. Dalam acara Indonesia Economic Outlook 2025 ia mengungkapkan bahwa Presiden Prabowo Subianto telah memberikan https://t.co/IZMZWAH3jI,ceo bpi danantara ros roeslani investasi kelola badan prinsip transparansi kehatihatian integritas acara indonesia economic outlook 2025 presiden prabowo subianto,2,1,False;;
@faizalassegaf Setelah hampir semua BUMN Karya dibikin sekarat sekarang dia bersama konconya opung ngincar BUMN gemuk untuk digorok melalui Danantara. Waspadalah Pak Prabowo.. !!!!,bumn karya bikin sekarat konco opung ngincar bumn gemuk gorok danantara waspada prabowo,0,1,False;;
@NenkMonica @erickthohir Mulai kebayang bgmn danantara @prabowo akn dijalankan,bayang bgmn danantara akn jalan,2,0,False;;
@shitlicious Justru dengan naiknya korupsi pertamina ini semakin menguatkan mereka keharusan adanya danantara... https://t.co/LIrpmFowMq,naik korupsi pertamina kuat harus danantara,1,0,False;;
Danantara-INA-Eramet kerja sama investasi nikel dari hulu hingga hilir https://t.co/b5cf4t3UuD https://t.co/egUlhVMNsm,danantarainaeramet kerja investasi nikel hulu hilir,2,1,False;;
@eko_is @Mdy_Asmara1701 Akankah dimasa depan Danantara menduduki puncak klasemen?,masa danantara duduk puncak klasemen,2,0,False;;
Hari ini matkul eko makro ngebahas danantara omg gw suka bgt,matkul eko makro ngebahas danantara omg gw suka bgt,1,0,False;;
Krn danantara,krn danantara,2,0,False;;
Melalui Danantara BUMN akan Beroperasi Dengan Standar Yang Tinggi Governance Yang Baik. https://t.co/DYpFo0CDAg,danantara bumn operasi standar governance,1,0,False;;
@fauziyyaahhh @worksfess Iya kak typoo Danantara keseringan diplesetin jadi Dirgantara jadi kebawa ,iya kak typoo danantara sering diplesetin dirgantara bawa,2,0,False;;
Orang Indonesia taunya apel malang itu kecil karena apel malang yang montok cuma boleh buat ekspor. Tapi kenapa sari apel carbonated harus impor? Kan mending bikin di Malang. Bisa dapet sertifikat halal yang gunungan wayang. TKDN tinggi. Ngga rame. Danantara bisa jadi investor.,orang indonesia tau apel malang apel malang montok ekspor sari apel carbonated impor mending bikin malang dapet sertifikat halal gunung wayang tkdn ngga rame danantara investor,1,0,False;;
yakin deh Danantara bisa bikin inves meningkat https://t.co/oXpI6XRiFM,deh danantara bikin inves tingkat,1,0,False;;
@ARSIPAJA Udah biarin danantara yg investasi disini mah.,udah biarin danantara yg investasi mah,1,0,False;;
Berita Singkat BUMN: Surveyor Indonesia ILCS Waskita Karya Danantara Bank BSI Bio Farma KIM IndonesiaRe Jasa Armada Indonesia GARAM. PINDAD https://t.co/L7hOBqHucJ @surveyor_id @ilcs_id @PTWASKITAKARYA1 @Danantara_ri @bankbsi_id @biofarmaID @ptkimmedan @Indonesia_Re https://t.co/sWESNSyy8s,berita singkat bumn surveyor indonesia ilcs waskita karya danantara bank bsi bio farma kim indonesiare jasa armada indonesia garam pindad,2,0,False;;
@EditanJeketi danantara nyusul,danantara nyusul,2,0,False;;
Penasaran berapa gaji semua posisi di Danantara tahun 2025? Dari admin staff sampai supervisor semuanya dibongkar lengkap per bulan! https://t.co/SQceGu99cY #InfoGaji #Danantara,penasaran gaji posisi danantara 2025 admin staff supervisor bongkar lengkap infogaji danantara,2,0,False;;
@faizalassegaf Jadi gini ya.. irlandia itu lagi bingung. .karena duit kebanyakan.. surplus.. akhirnya tu negara bikinlah danantara .. bukan makasih gaes https://t.co/MigZJ8kVwx,gin ya irlandia bingung duit banyak surplus tu negara bikin danantara makasih gaes,1,0,False;;
@ejaaakult Kan Pi el en ndamasuk dividen yg dimelola danantara kak,pi el en ndamasuk dividen yg dimelola danantara kak,2,0,False;;
Setelah menulis ini beliau mundur dari danantara ,tulis beliau mundur danantara,2,0,False;;
@KangManto123 Calon komisaris danantara ΓÇì∩╕Å,calon komisaris danantara,2,0,False;;
rakyatnya peduli Palestine effort untuk boycott. pejabatnya malah jadiin mantan PM Inggris pro zionist jadi dewas danantara goblok,rakyat peduli palestine effort boycott jabat jadiin mantan pm inggris pro zionist dewas danantara goblok,2,0,False;;
wah Danantara keren bgt! Kl thx morning vibe sempurna serasa jalan baru https://t.co/YW0xXA8uZa,danantara keren bgt kl thx morning vibe sempurna serasa jalan,1,0,False;;
Gila ya replay org disini pada ngedoain jahat jahat anjg ngedoain danantara gagal korupsi dll buset sejahat itu sama negara sendiri mangknya di doain yg buruk,gila ya replay org ngedoain jahat jahat anjg ngedoain danantara gagal korupsi dll buset jahat negara mangknya doain yg buruk,1,0,False;;
@miarta_kadek @Danantara_ri mungkin nanti bisa masukan defend id untuk bisa mendanai project² pertahanan.,masuk defend id dana project tahan,1,0,False;;
@Jateng_Twit @Kemendag Politik bisnis bentar lg Sritex di ambil alih Danantara. Karena pengelolah nya orang super hebat cerdas lulusan UGM dan luar negeri,politik bisnis bentar lg sritex ambil alih danantara elo nya orang super hebat cerdas lulus ugm negeri,2,0,False;;
Bertanya pada AI dampak korupsi pada sebuah negara jika indo terus menjadi negara korup para investor tidak akan investasi ke negara ini maka ekonomi kita akan stuck dan lapangan pekerjaan tidak ada dan menciptakan pengurangan #PertamaxOplosan #Danantara #PertamaxPertalite,ai dampak korupsi negara indo negara korup investor investasi negara ekonomi stuck lapang kerja cipta kurang pertamaxoplosan danantara pertamaxpertalite,0,1,False;;
Yg bener yang mana? Hengkang atau masih ada di Danantara? Sekelas Bloomberg masa iya bikin berita hoax?,yg bener hengkang danantara kelas bloomberg iya bikin berita hoax,2,0,False;;
@ariyadifebri gausah bahas bola pertamina atau danantara aja https://t.co/JpL0MTn3HL,gausah bahas bola pertamina danantara aja,2,0,False;;
https://t.co/GrLUSl8hcc Makin kesini makin kesana udah data bocor ditambah gak ada service 2 hari. Gimana nasib saham #tlkm pas pembukaan bursa besok senin? #danantara #IHSG,kesini kesana udah data bocor tambah gak service 2 gimana nasib saham tlkm pas buka bursa besok senin danantara ihsg,2,0,False;;
Skandal korupsi Pertamina makin panas! Direktur utama terseret Pertamina segera masuk ke Danantara. Ini penjelasan penasihat Prabowo. https://t.co/cHstmcfHyZ,skandal korupsi pertamina panas direktur utama seret pertamina masuk danantara jelas nasihat prabowo,2,0,False;;
@BigAlphaID Danantara stonks ,danantara stonks,1,2,False;;
@saniisas_ @oput13_ @tanyakanrl Ini ekspresi ketidaksetujuan sama Danantara.... Coba liat dari sudut yg berbeda....,ekspresi ketidaksetujuan danantara coba liat sudut yg beda,2,0,False;;
@ArdyaDipta Ray Dalio kerja di danantara sejak kapan memangnya? Memangnya nulis buku setebal 400 halaman cukup dalam beberapa bulan? Dia udah ngumumin buku ini setidaknya sejak januari lalu. Dalam berbagai publikasinya soal buku ini justru yg dihighlight itu kekhawatiran US akan go broke . https://t.co/vezLmcZ01Y,ray dalio kerja danantara memang memang nulis buku setebal 400 halaman udah ngumumin buku januari publikasi buku yg dihighlight khawatir us go broke,1,0,False;;
IHSG jeblok itu akumulasi dr gabungan banyak faktor bank. isu luar dan dalam para investor lagi wait &amp; see karna merasa banyak pertanyaan mereka atas kebijakan bowo yang belum jelas. pas danantara udah jelas naik lagi sekarang ke Rp6.510 kok. berdoa yang baik supaya nyampe 8k,ihsg jeblok akumulasi dr gabung faktor bank isu investor wait see karna bijak bowo pas danantara udah rp6510 doa nyampe 8k,1,0,False;
Bapaknya baru 2 bulan kerja di Danantara dan keluar,bapak 2 kerja danantara,2,0,False;;
@V3g3L Bukankah sebelum masuk jd penasehat doi sdh dapat info siapa saja jd petinggi DANANTARA?,masuk jd nasehat doi sdh info jd petinggi danantara,2,0,False;;
Initial funding atau pendanaan awal Danantara yang diproyeksikan sekitar Rp 326 01 triliun akan fokus kepada 20 proyek strategis nasional. Sejumlah proyek prioritas itu di antaranya hilirisasi nikel bauksit tembaga hingga proyek kilang minyak pabrik petrokimia produksi https://t.co/27JJ9YqKKe,initial funding dana danantara proyeksi rp 326 01 triliun fokus 20 proyek strategis nasional proyek prioritas hilir nikel bauksit tembaga proyek kilang minyak pabrik petrokimia produksi,2,0,False;;
@_haye_ Rapat Koordinasi Danantara: https://t.co/3wO5n5bxRI,rapat koordinasi danantara,2,0,False;;
dengerin space danantara serasa lagi kelas online,dengerin space danantara serasa kelas online,2,0,False;;
@jogjapokeid Kemungkinan malah akan dmasukkan ke investasi danantara Lik ,dmasukkan investasi danantara lik,2,1,False;;
@PngAdilnR4kyt Bro2 DANANTARA BERAPA MODALNYA CUMA 24 7 TRILIUN MASA IYA BISA MENENGGELAMKAN INDONESIA NGACO NIH TUA BANGKA . LIHAT KORUPSI PERTAMINA PENGOPLOSAN AJA 139T BAH ITU AJA BELUM SEBERAPA,bro2 danantara modal 24 7 triliun iya tenggelam indonesia ngaco nih tua bangka lihat korupsi pertamina oplos aja 139t bah aja,1,0,False;;
Waduh! Penasihat Danantara Ray Dalio Terbitkan Buku Utang &amp; Negara Bangkrut Kasih Sinyal? https://t.co/2eZp9DKg96,nasihat danantara ray dalio terbit buku utang negara bangkrut kasih sinyal,0,2,False;
@txtdaritax Negara yang dia bilang akan bangkrut itu adalah Amerika krna hutangnya yg sangat besar. Dia tdk bicara soal indonesia apalagi danantara. Knapa orang2 kita malas untuk membaca dan mencari informasi yg benar ketika mendapatkan sebuah informasi ? Sudah salah lalu disebarkan juga https://t.co/8HEwapfWCO,negara bilang bangkrut amerika krna hutang yg tdk bicara indonesia danantara knapa orang2 malas baca cari informasi yg informasi salah sebar,1,0,False;;
@gataujugawoi @tanyarlfes MBG nyiptain lapker SR nyiptain Kopdes MP nyiptain K/L baru nyiptain Danantara nyiptain Penyerapan hasil tani nyiptain Wajib hilirasi rare product nyiptain Lo pasti ga paham kan? Soalnya kan lo gataujugawoi wkwk Namany aj udh gataujuga ya pasti gatau apa wkwk,mbg nyiptain lapker sr nyiptain kopdes mp nyiptain kl nyiptain danantara nyiptain serap hasil tani nyiptain wajib hilirasi rare product nyiptain lo ga paham lo gataujugawoi wkwk namany aj udh gataujuga ya gatau wkwk,1,0,False;;
@FrediRandi4 Energi positif Presiden Prabowo hadir lewat kolaborasi Danantara dan global Joint Fund 67 5 Triliun jadi bukti nyata,energi positif presiden prabowo hadir kolaborasi danantara global joint fund 67 5 triliun bukti nyata,2,1,False;;
@tanyakanrl oiya laba yg akan diserahkan ke danantara pun ga seluruhnya jadi sebagian aja berapa persennya gitu yaa,oiya laba yg serah danantara ga aja persen gitu yaa,2,0,False;;
@cnbcindonesia Tak kebal hukum itu merujuk pada aturan danantara bukan omon-omon ,kebal hukum rujuk atur danantara omonomon,2,0,False;;
Ternyata Danantara ga Cuma badan investasi aja. Ternyata bisa juga nambah lapangan kerja https://t.co/RKKV0fv3a6,danantara ga badan investasi aja nambah lapang kerja,1,0,False;;
@KangManto123 Kayak gini masih berharap Ray Dalio endorse Danantara.,kayak gin harap ray dalio endorse danantara,0,2,False;;
@Urrangawak kalo kata @RayDalio yang cabut dari danantara: https://t.co/M6eIC2z0hw,kalo cabut danantara,2,0,False;;
Cuma Ganti Istilah Dan Pemain?! Ujung-ujungnya Di Korupsi Lagi Dan Merugi Lagi? Erick Jelaskan Garuda Tak Akan Lagi Dapat PMN Tapi Dimodali Danantara Badan Pengelola Investasi Daya Anagata Nusantara (Danantara) berencana untuk menyuntik modal ke perusahaan penerbangan negara https://t.co/FjZPHo4Tfx,ganti istilah main ujungujungnya korupsi rugi erick garuda pmn modal danantara badan kelola investasi daya anagata nusantara danantara rencana suntik modal usaha terbang negara,0,2,False;;
@tijabar Pesimis danantara bkalan sukses,pesimis danantara bkalan sukses,0,1,False;;
Danantara jangan dilupakan gaes memang kasus Oplosan Pertamax ini sangat hot untuk dibicarakan jangan sampai kita jadi teralihkan. Kita kawal semuanya ,danantara lupa gaes oplos pertamax hot bicara alih kawal,2,0,False;;
Ray Dalio Diisukan Mundur dari Danantara Ekonom Bocorkan Ada 'Masalah' Serius! https://t.co/kEzLHn6rmB,ray dalio isu mundur danantara ekonom bocor serius,0,2,False;;
@StefanAntonio__ Rosan yakin rebound. Danantara akan beraksi beli saham.,ros rebound danantara aksi beli saham,2,0,False;;
@saudadudee @NarasiNewsroom Lah mmng nya danantara ada issue apaan? Kalian aja yg mmng oposisi selalu membuat niat baik pemerintah itu salah.,mmng nya danantara issue aja yg mmng oposisi niat perintah salah,1,0,False;;
@hoteliercrypto Bli kenapa raydalio mengundurkan diri dari danantara?,bli raydalio undur danantara,2,0,False;;
@nabiylarisfa Kak cek project Garuda Bank Indonesia deh..berbasis blockchain.. apa ada kemungkinan danantara dan bank emas mau dijadikan underlying project rupiah digital?,kak cek project garuda bank indonesia dehberbasis blockchain danantara bank emas jadi underlying project rupiah digital,2,0,False;;
@BigAlphaID Danantara dapat tugas pertama menyerap saham bumn yg dilepas asing,danantara tugas serap saham bumn yg lepas asing,2,0,False;;
@ahse75 @Boediantar4 Bank bumn di pastikan ? Enggak semua BTN gak ikut danantara,bank bumn pasti btn gak danantara,2,0,False;;
@sarah_pndjtn @profesor_saham bener ga @grok ray dalio mundur dari danantara?,bener ga ray dalio mundur danantara,2,0,False;;
@BigAlphaID Kyai pernah berkata: Dalam ekonomi langit uang itu seperti air. Ia mengalir ke tempat yang bersih jernih dan tidak menyimpan bangkai. Bila publik mulai meragukan mungkin waktunya bukan cuma membantah tapi membersihkan wadahnya. Danantara bukan sekadar perusahaan tapi lbh,kyai ekonomi langit uang air alir bersih jernih simpan bangkai publik ragu ban bersih wadah danantara usaha lbh,2,0,False;;
Bro @RayDalio mengundurkan diri dari danantara. Bang @grok tolong jelaskan secara detail kenapa pak Ray Dalio ini mundur ada apakah gerangan ?,bro undur danantara bang tolong detail ray dalio mundur gerangan,2,0,False;;
@PramukhtikoS Selama nie dia tenang2 saja tau tau nya ... Di proses hingga tuntas gak nie atau cmn pengalihan isu pik n danantara,nie tenang2 tau tau nya proses tuntas gak nie cmn alih isu pik n danantara,2,0,False;;
@kangrozin Memang itu Mas salah satu kalau bukan tujuan utamanya Danantara. Bikin investor asing lebih percaya masukin modal ke sini dengan put skin in the game.,mas salah tuju utama danantara bikin investor asing percaya masukin modal put skin in the game,1,0,False;;
BPI DANANTARA UNTUK PERCEPATAN PERTUMBUHAN NASIONAL Bagaimana Danatara bisa berperan dalam pertumbuhan nasional? Lalu kenapa saat mula peluncurannya dikerumuni pro-kontra di tengah masyarakat? Asta Cita Center mempersembahkan diskusi dengan tajuk BPI Danantara untuk https://t.co/PNSDuRLKH1,bpi danantara cepat tumbuh nasional danatara peran tumbuh nasional luncur kerumun prokontra masyarakat asta cita center sembah diskusi tajuk bpi danantara,2,1,False;;
@tanyakanrl DANANTARA pake bahasa warung https://t.co/Ykk5nmTCy2,danantara pake bahasa warung,2,0,False;;
slalu suka klo discuss sm ibu and love the way dia bakal terima opini ak klo ak based on data td baru bahas pertamina sm danantara,slalu suka klo discuss sm and love the way terima opini ak klo ak based on data td bahas pertamina sm danantara,1,0,False;;
@tanyakanrl Emang uang kita yg disimpan di bank-bank BUMN yg ditunjuk sebagai penyelenggara Danantara ikut terpakai juga? Bukannya cuma aset dari bank-bank yg bersangkutan?? Kalo kita saving artinya duit dipake sebagai aset tapi kalo cuma disimpan aja. Masak iya dipake?,emang uang yg simpan bankbank bumn yg selenggara danantara pakai aset bankbank yg sangkut kalo saving duit dipake aset kalo simpan aja masak iya dipake,2,0,False;;
@MichelAdam717 hmmmmm Grup trio ada yg mau cawe Silauuuu men lihat DANANTARA 15 978 Trilyun turuuunn gunung https://t.co/CKE3RbVFVG,hmmmmm grup trio yg cawe silauuuu men lihat danantara 15 978 trilyun turuuunn gunung,2,0,False;;
@AndiPitopang7 Danantara kan 14.000 Triliun kemana?,danantara 14000 triliun mana,2,0,False;;
