Text,Stemming,True Label,Predicted Label,Correct
@powerbbaannkk @99propaganda Danantara itu justru jebakan oleh pak Prabowo .. supaya para koruptor masuk disini semua,danantara jebak prabowo koruptor masuk,1,0,False
Kemarin 9naga di todong investasi ke IKN sekarang di todong investasi ke Danantara. ((Jadi pembeli pertama ya engkong-engkong?)),kemarin 9naga todong investasi ikn todong investasi danantara beli ya engkongengkong,0,1,False
@hemaviton99 @Capitalisborju Punya Danantara...takut apa?,danantaratakut,1,0,False
@ArdyaDipta Ray Dalio kerja di danantara sejak kapan memangnya? Memangnya nulis buku setebal 400 halaman cukup dalam beberapa bulan? Dia udah ngumumin buku ini setidaknya sejak januari lalu. Dalam berbagai publikasinya soal buku ini justru yg dihighlight itu kekhawatiran US akan go broke . https://t.co/vezLmcZ01Y,ray dalio kerja danantara memang memang nulis buku setebal 400 halaman udah ngumumin buku januari publikasi buku yg dihighlight khawatir us go broke,1,0,False
Menteri Keuangan bertemu kembali dengan H.E. Paul Chan Mo-po Financial Secretary Hong Kong SAR. Dalam pertemuan ini Menkeu memaparkan agenda reformasi Presiden Prabowo: pembentukan Danantara UU P2SK dan optimalisasi bonus demografi. #MenkeuRI #ReformasiEkonomi https://t.co/QKHtgG2fu3,menteri uang temu he paul chan mopo financial secretary hong kong sar temu menkeu papar agenda reformasi presiden prabowo bentuk danantara uu p2sk optimalisasi bonus demografi menkeuri reformasiekonomi,1,0,False
@PaltiWest2024 Coba tag akun sosmed nya mungkin dengan baca ini semua mereka jadi jernih,coba tag akun sosmed nya baca jernih,1,0,False
Ekonom CSIS: Pembentukan Danantara Jadi Ajang Reformasi BUMN https://t.co/TLjf5GTcIA,ekonom csis bentuk danantara ajang reformasi bumn,1,0,False
Makroekonomi nya yakni Dibawanya Industri Padat modal masuk ke Indonesia mengakibatkan Fase Expansi di Emerging market (Indo dan Vietnam). Plus ada peran Danantara yang bakal bantu Likuiditas Udah Ini yang dipegang jadi ga gampang panik saat merah. https://t.co/EOtKML4foN,makroekonomi nya bawa industri padat modal masuk indonesia akibat fase expansi emerging market indo vietnam plus peran danantara bantu likuiditas udah pegang ga gampang panik merah,1,0,False
Hari ini matkul eko makro ngebahas danantara omg gw suka bgt,matkul eko makro ngebahas danantara omg gw suka bgt,1,0,False
@FrediRandi4 Presiden Prabowo lah yang punya visi besar di balik suksesnya Joint Fund Danantara global kali ini,presiden prabowo visi sukses joint fund danantara global kali,0,1,False
@kegblgnunfaedh Kolaborasi ketat pengawasan DANANTARA untuk pembangunan ekonomi 8% inisiatif Presiden Prabowo https://t.co/cRcAxmpiFT,kolaborasi ketat awas danantara bangun ekonomi 8 inisiatif presiden prabowo,0,1,False
wah Danantara keren bgt! Kl thx morning vibe sempurna serasa jalan baru https://t.co/YW0xXA8uZa,danantara keren bgt kl thx morning vibe sempurna serasa jalan,1,0,False
@AlBahaul @ananotyou @tanyakanrl Emang gada masalah aku ga masalahin kalian pindahin uang atau pindah bank bebas mas mbak monggo gada yg atur. Cuman titik poin nya adalah kalo alasan pindahin uang biar uang nya aman ga dipakek danantara itu salah. Yang aku jelasin titik poin nya disituu.,emang gada ga masalahin pindahin uang pindah bank bebas mas mbak monggo gada yg atur cuman titik poin nya kalo alas pindahin uang biar uang nya aman ga dipakek danantara salah jelasin titik poin nya disituu,1,0,False
Kalau nantiny Danantara itu juga jadi proyek korupsi besar-besaran semoga pimpinan setelah pak Prabowo ini juga seberani pak Prabowo buka kasus korupsi yang akhir-akhir ini kebuka. Salut buat tim kejaksaan yang berani tapi kalo kata pak Mahfud MD kalau gak direstui presiden,nantiny danantara proyek korupsi besarbesaran moga pimpin prabowo berani prabowo buka korupsi akhirakhir buka salut tim jaksa berani kalo mahfud md gak restu presiden,0,1,False
@Saham_fess Standarnya kan asal perusahaan gak macem2 ga ada korupsi dll Lah danantara...,standar usaha gak macem2 ga korupsi dll danantara,1,0,False
Umumnya emiten menetapkan dividend payout ratio (DPR) tahun buku 2024 yang relatif stabil dibandingkan tahun buku 2023 tetapi kami melihat terdapat kecenderungan peningkatan DPR dari emiten BUMN seiring pembentukan BPI Danantara.,emiten tetap dividend payout ratio dpr buku 2024 relatif stabil banding buku 2023 cenderung tingkat dpr emiten bumn iring bentuk bpi danantara,1,0,False
inspirasi bgt liat progres Danantara keep it up https://t.co/jcXpNMznIN,inspirasi bgt liat progres danantara keep it up,1,0,False
SKCK berlaku untuk pencari kerja non eks napi kecuali eks napi koruptor Hidup Danantara ..,skck laku cari kerja non eks napi kecuali eks napi koruptor hidup danantara,1,0,False
@bravocado terimakasih Danantara #PrabowoPresidenku ,terimakasih danantara prabowopresidenku,1,0,False
@StefanAntonio__ @bagusrangin77 Lo Kheng Hong masuk danantara gan (beli BBRI ),lo kheng hong masuk danantara gan beli bbri,1,0,False
@saudadudee @NarasiNewsroom Lah mmng nya danantara ada issue apaan? Kalian aja yg mmng oposisi selalu membuat niat baik pemerintah itu salah.,mmng nya danantara issue aja yg mmng oposisi niat perintah salah,1,0,False
@Shidqi_Musthofa Kenapa dgn bank plat merah takut danantara ? Itu gak ada hubungann dgn uang nasabah Kyai,dgn bank plat merah takut danantara gak hubungann dgn uang nasabah kyai,1,0,False
Orang Indonesia taunya apel malang itu kecil karena apel malang yang montok cuma boleh buat ekspor. Tapi kenapa sari apel carbonated harus impor? Kan mending bikin di Malang. Bisa dapet sertifikat halal yang gunungan wayang. TKDN tinggi. Ngga rame. Danantara bisa jadi investor.,orang indonesia tau apel malang apel malang montok ekspor sari apel carbonated impor mending bikin malang dapet sertifikat halal gunung wayang tkdn ngga rame danantara investor,1,0,False
@Leviathan_Nisy Berharap aja danantara bs jd roda pengerak (meski sgt riskan tp kemungkinan bkl byk aset dijaminkan buat ambil leverage/margin/ tarik utang demi mega proyek pemerintah). Kalau pengelolaanya kacau dan gagal siap duit aja buat pindah ke malay apa singapore ,harap aja danantara bs jd roda erak sgt riskan tp bkl byk aset jamin ambil leveragemargin tarik utang mega proyek perintah pengelolaanya kacau gagal duit aja pindah malay singapore,1,0,False
Gila ya replay org disini pada ngedoain jahat jahat anjg ngedoain danantara gagal korupsi dll buset sejahat itu sama negara sendiri mangknya di doain yg buruk,gila ya replay org ngedoain jahat jahat anjg ngedoain danantara gagal korupsi dll buset jahat negara mangknya doain yg buruk,1,0,False
@ARSIPAJA Tapi mereka jadi pengarah... artinya ya danantara didikte asing,arah ya danantara dikte asing,1,0,False
NEPOTISME ALA JOKOWI Bekas Presiden RI Joko Widodo mewanti-wanti Badan Pengelola Investasi (BPI) Daya Anagata Nusantara (Danantara) harus dikelola oleh profesional yang ahli di bidang investasi. Menurut Jokowi keterlibatan profesional dan ahli di BPI menjadi kunci kesuksesan https://t.co/kY4sYjsLMZ,nepotisme ala jokowi bekas presiden ri joko widodo mewantiwanti badan kelola investasi bpi daya anagata nusantara danantara kelola profesional ahli bidang investasi jokowi libat profesional ahli bpi kunci sukses,0,1,False
gue megang danantara,gue megang danantara,1,0,False
Oke deh danantara bagus niatnya konsolidasi bumn biar bumn kita bisa maju skg buktiin negara niat brantas korupsi dengan sah kan ruu perampasan aset balikin independensi kpk. Miskinkan semua koruptor yg beneran koruptor bukan cuma kambing hitam.,oke deh danantara bagus niat konsolidasi bumn biar bumn maju skg buktiin negara niat brantas korupsi sah ruu ampas aset balikin independensi kpk miskin koruptor yg beneran koruptor kambing hitam,1,0,False
@pururennyaa @taegurl_ @tanyakanrl Ngga perlu juga yang diambil pemerintah dari bank bumn kan hasil untungnya bukan aset dan tabungan nasabahnya kalaupun danantara amit2 bangkrut juga ga ada urusannya sama bank bumn,ngga ambil perintah bank bumn hasil untung aset tabung nasabah danantara amit2 bangkrut ga urus bank bumn,1,0,False
slalu suka klo discuss sm ibu and love the way dia bakal terima opini ak klo ak based on data td baru bahas pertamina sm danantara,slalu suka klo discuss sm and love the way terima opini ak klo ak based on data td bahas pertamina sm danantara,1,0,False
@Anak__Ogi Manusia tolol @Ndrewstjan ini udh ngeblokir gw krn dia nyindir tempo yg d danai aseng tp danantara yg jelas berisi eks koruptor aseng ga dia komentari wkkw. Kasihan dia anak istri dia dikasih makan duit haram hasil ngebuzzer,manusia tolol udh ngeblokir gw krn nyindir tempo yg d dana aseng tp danantara yg isi eks koruptor aseng ga komentar wkkw kasihan anak istri kasih makan duit haram hasil ngebuzzer,0,0,True
Rangkap Jabatan Menteri merangkap di lembaga yg dibiayai oleh APBN. Menteri dan wakil menteri menduduki posisi sbgCEO dan COO DANANTARA. UU Kementerian Negara mungkin menurut pak @prabowo masih dibawah Keputusan Presiden.. https://t.co/FjGhyfNEI0 https://t.co/lOEgfIHTbT,rangkap jabat menteri rangkap lembaga yg biaya apbn menteri wakil menteri duduk posisi sbgceo coo danantara uu menteri negara bawah putus presiden,0,0,True
Danantara masa depan Indonesia https://t.co/b3RNkqHu4B,danantara indonesia,1,1,True
CEO Danantara Tegaskan Investasi Dilakukan Secara Transparan dan Hati-hati https://t.co/pdUGom6b83,ceo danantara tegas investasi transparan hatihati,1,1,True
Coba ini kurang bejat apa lagi.... Hati hati Danantara,coba bejat hati hati danantara,0,0,True
@JedTeguh03 Salut sama Presiden Prabowo yang terus support Danantara langkah maju buat Indonesia,salut presiden prabowo support danantara langkah maju indonesia,1,1,True
Pembentukan Danantara sebagai pusat pengelola investasi nasional menjadi langkah strategis untuk memperkuat ketahanan ekonomi Indonesia dalam menghadapi era ekonomi baru. #Danantara #KerjaSamaDanantara #InvestasiDanantara #DukungDanantara https://t.co/hBuhSXrRs3,bentuk danantara pusat kelola investasi nasional langkah strategis kuat tahan ekonomi indonesia hadap era ekonomi danantara kerjasamadanantara investasidanantara dukungdanantara,1,1,True
@JedTeguh03 Presiden Prabowo selalu dukung Danantara wujudkan mimpi anak muda dalam negeri,presiden prabowo dukung danantara wujud mimpi anak muda negeri,1,1,True
@OposisiCerdas Mosi karena tidak digubris Rektor setelah minta Rektor menyatakan mosi tidak percaya pada pemerintah mengklaim atas nama rakyat karena kebijakan amburadul pemerintah efisiensi anggaran MBG danantara lah itu mah isu lawan politik enak aja mengklaim Rakyat Bravo Rektor UGM,mosi gubris rektor rektor mosi percaya perintah klaim nama rakyat bijak amburadul perintah efisiensi anggar mbg danantara mah isu lawan politik enak aja klaim rakyat bravo rektor ugm,0,0,True
4/ 2. Danantara Indonesia Prabowo meluncurkan Daya Anagata Nusantara (Danantara) dana investasi dengan total aset lebih dari USD 900 Miliar! Ini akan mempercepat pembangunan industri strategis di Indonesia! https://t.co/ViaxQ1Gmjw,4 2 danantara indonesia prabowo luncur daya anagata nusantara danantara dana investasi total aset usd 900 miliar cepat bangun industri strategis indonesia,1,1,True
@JedTeguh03 Keren banget Presidennya mau terlibat langsung dukung Danantara,keren banget presiden libat langsung dukung danantara,1,1,True
Jujur gue sedih bgt liat IHSG.....ini gw Hold dari jaman gue digaji sejuta akhirnya sekarang sampe merah......sakit hati gw trust gue tinggi banget loh sama BUMN ini diruntuhin gitu aja karna Danantara TOT ini,jujur gue sedih bgt liat ihsgini gw hold jaman gue gaji juta sampe merahsakit hati gw trust gue banget loh bumn diruntuhin gitu aja karna danantara tot,0,0,True
Danantara Indonesia adalah milik anak cucu kita generasi penerus bangsa - Pesan Presiden Prabowo #berita #danantara #presidenprabowo #investasi #tepatsolutifindonesia #investasi #tepatsolutifindonesia Aliansi BEM Jennie Kamis https://t.co/H0Z58NyLSK,danantara indonesia milik anak cucu generasi terus bangsa pesan presiden prabowo berita danantara presidenprabowo investasi tepatsolutifindonesia investasi tepatsolutifindonesia aliansi bem jennie kamis,1,1,True
@kecilamat12 BPI Danantara hadir mendorong ketahanan energi lewat kolaborasi global di sektor energi hijau. Investasi hari ini demi bumi esok hari. #EnergiBersih #InvestasiHijau #DanantaraMaju,bpi danantara hadir dorong tahan energi kolaborasi global sektor energi hijau investasi bumi esok energibersih investasihijau danantaramaju,1,1,True
@DaulatNegeri @AyatMamas @jokowi Ya Jokowi sebagai patron Danantara bisa berbahaya. Kontroversi korupsi dan dinasti politiknya dapat merusak reputasi Danantara yang mengelola aset besar dan butuh integritas tinggi. Meski pengalamannya bisa menarik investor risiko mistrust publik dan tantangan operasional,ya jokowi patron danantara bahaya kontroversi korupsi dinasti politik rusak reputasi danantara kelola aset butuh integritas alam tarik investor risiko mistrust publik tantang operasional,0,0,True
Danantara ciptakan manajemen aset yang lebih transparan efisien dan berdampak pada pembangunan nasional #Danantara #BPIDanantara https://t.co/3UF69ptjQh,danantara cipta manajemen aset transparan efisien dampak bangun nasional danantara bpidanantara,1,1,True
@reaareaa__ Presiden Prabowo selalu punya cara jitu support Danantara dan itu bikin semangat,presiden prabowo jitu support danantara bikin semangat,1,1,True
@GenZNusantara Pasar lagi optimis karena IHSG menguat. Kepengurusan Danantara yang jelas dan hasil RUPST Himbara jadi bukti kepercayaan investor,pasar optimis ihsg kuat urus danantara hasil rupst himbara bukti percaya investor,1,1,True
@xfrbn @Andri_Kun04 Ya begitu deh bang gak tau yak masih oplosan atau engga yang pasti ini berita dinaekin sekarang buat nutupin danantara sama faktanya orang Pertamina plus mobil kepresidenan aja isinya shell pertamina nih jualnya taik bukan bensin,ya deh bang gak tau yak oplos engga berita dinaekin nutupin danantara fakta orang pertamina plus mobil presiden aja isi shell pertamina nih jual taik bensin,0,0,True
@GenZNusantara Ide cemerlang bersinar bersama BPI Danantara erbano di depan,ide cemerlang sinar bpi danantara erbano,1,1,True
@reaareaa__ Presiden Prabowo serius dukung Danantara jangan ragu berkarya di negeri sendiri,presiden prabowo serius dukung danantara ragu karya negeri,1,1,True
@JPGunarto Pagi! Prabowo tampaknya masih punya biji terlihat dari kebijakan ekonomi berani seperti Dana Danantara dan target pertumbuhan 8%. Meski pasar cemas dan investor protes langkahnya menunjukkan ketegasan walau kontroversial. Jadi sepertinya dia masih teguh seperti dulu!,pagi prabowo biji bijak ekonomi berani dana danantara target tumbuh 8 pasar cemas investor protes langkah tegas kontroversial teguh,1,1,True
Dengan strategi investasi yang terarah transparan dan birokrasi yang efisien Danantara mendorong pertumbuhan ekonomi berkelanjutan dan membuka peluang lebih besar bagi kemajuan Indonesia. #InvestasiStrategis #EkonomiTumbuh #IndonesiaMaju https://t.co/jg9DhUGS81,strategi investasi arah transparan birokrasi efisien danantara dorong tumbuh ekonomi lanjut buka peluang maju indonesia investasistrategis ekonomitumbuh indonesiamaju,1,1,True
BPI Danantara Meningkatkan Perekonomian #Fakta #BPIDanantara #EkonomiKuat #TerusTerang https://t.co/wq4rpPsOv3,bpi danantara tingkat ekonomi fakta bpidanantara ekonomikuat terusterang,1,1,True
@JedTeguh03 Bangga sama Presiden Prabowo yang kasih ruang buat Danantara berkembang,bangga presiden prabowo kasih ruang danantara kembang,1,1,True
BPI DANANTARA FOKUS INVESTASI DI SEKTOR STRATEGIS https://t.co/ieCNaJLu0O,bpi danantara fokus investasi sektor strategis,1,1,True
@JedTeguh03 Niat baik Presiden Prabowo buat support Danantara beneran jadi energi baru buat pelaku startup,niat presiden prabowo support danantara beneran energi laku startup,1,1,True
dari segitu banyak orang pinter kok bisa2nya gak ada yang nentang koruptor negara lain jadi pengurus di danantara.,segitu orang pinter bisa2nya gak nentang koruptor negara urus danantara,0,0,True
Gitupun ikut ngurusin danantara. Kan koplak.,gitupun ngurusin danantara koplak,0,0,True
@reaareaa__ Dukungan Presiden Prabowo ke Danantara bikin karya anak bangsa makin diakui,dukung presiden prabowo danantara bikin karya anak bangsa aku,1,1,True
"@thepinkydinos @BudiBukanIntel RAPI AMAT &amp; Donny oskar (pejabat Danantara) . Saham donny lebig gede dr kaesang,rapi donny oskar jabat danantara saham donny lebig gede dr kaesang,0,0,True"
Lemahnya pengawasan dan rawannya konflik kepentingan inilah yang membuat reaksi pasar saham terhadap BUMN yang dinaungi Danantara justru melemah saat lembaga ini pertama diluncurkan. Keberhasilan Danantara menjadi semakin mengkhawatirkan karena baru-baru ini terjadi skandal --,lemah awas rawan konflik penting reaksi pasar saham bumn naung danantara lemah lembaga luncur hasil danantara khawatir barubaru skandal,0,0,True
 Danantara Siapkan Langkah Investasi Strategis untuk Indonesia Maju #InvestasiStrategis #EkonomiTumbuh #IndonesiaMaju https://t.co/g7InDZYWh2,danantara siap langkah investasi strategis indonesia maju investasistrategis ekonomitumbuh indonesiamaju,1,1,True
@__AnakKolong @prabowo @setkabgoid INVESTOR GAK ADA YG BODOH .. KALAUPUN ADA INVESTOR YG BODOH DI INDONESIA ITU CUMA ADA DI DANANTARA.,investor gak yg bodoh investor yg bodoh indonesia danantara,0,0,True
Tenang. Danantara buka loker tuh kayaknya. Coba tanya si wowo ama si planga plongo,tenang danantara buka loker tuh kayak coba si wowo ama si planga plongo,0,0,True
@FrediRandi4 Vibes positif dari Presiden Prabowo makin terasa karena Joint Fund Danantara segede Rp 67 5 Triliun bakal wujudkan banyak harapan,vibes positif presiden prabowo joint fund danantara gede rp 67 5 triliun wujud harap,1,1,True
@FrediRandi4 Ide cerdas Presiden Prabowo aktifkan Danantara di Joint Fund global jadi Optimisme baru,ide cerdas presiden prabowo aktif danantara joint fund global optimisme,1,1,True
Danantara adalah pondasi baru bagi masa depan ekonomi Indonesia. Ayo bersama-sama wujudkan fondasi ekonomi yang lebih kuat! #DukungDanantara #EkonomiHebat https://t.co/o0T2X4pKbY,danantara pondasi ekonomi indonesia ayo bersamasama wujud fondasi ekonomi kuat dukungdanantara ekonomihebat,1,1,True
@JedTeguh03 Dukungan Presiden Prabowo ke Danantara jadi alasan buat terus bergerak maju,dukung presiden prabowo danantara alas gerak maju,1,1,True
#Danantara hadir sebagai fondasi baru tata kelola investasi nasional https://t.co/udv3xG4cFJ,danantara hadir fondasi tata kelola investasi nasional,1,1,True
@Simemaki Begini ini klo buzzeRp bayaran sempak robek murah kmu ngerti sop jurnalistik gak kmu paham ilmu investasi gak? Tar klo tau perush investasi soros inject ke Danantara elu bunuh diri mungkin goblog jangan ngajak2 deh belajar dulu ya narasi murahan kok disebar ndasmu,klo buzzerp bayar sempak robek murah kmu ngerti sop jurnalistik gak kmu paham ilmu investasi gak tar klo tau perush investasi soros inject danantara elu bunuh goblog ngajak2 deh ajar ya narasi murah sebar ndasmu,0,0,True
@ArdyaDipta Doi join danantara cuma buat riset buat bukunya pak ,doi join danantara riset buku,0,0,True
@HumorJonTampan Aye sumbang saran aja. Hentikan proyek MBG IKN dan Danantara. Rampingkan kabinet. Pangkas tunjangan yang menggunakan dana yang besar. Angkat @HumorJonTampan jadi Sekneg. #ngok,aye sumbang saran aja henti proyek mbg ikn danantara ramping kabinet pangkas tunjang dana angkat sekneg ngok,0,0,True
@GenZNusantara New day new hope! Dengan strategi BPI Danantara Indonesia jadi destinasi investasi global,new day new hope strategi bpi danantara indonesia destinasi investasi global,1,1,True
SORRY YEEEE Maafkan diri ini bila belum setransparan pembuatan RUU TNI Masih banyak salah seperti pendirian Danantara Teriring kehangatan yang dapat memenuhi raga seperti Makan Bergizi Gratis Oke Gas menuju kemenangan selamat Hari Raya Idul Fitri 1446 H ï¸,sorry yeeee maaf transparan buat ruu tni salah diri danantara iring hangat penuh raga makan gizi gratis oke gas menang selamat raya idul fitri 1446 h,0,0,True
presiden zionist pertama di indonesia. menyedihkan. dah curiga sih dr liat dia brg abu janda. trs danantara masuk blackrock. hahaha,presiden zionist indonesia sedih dah curiga sih dr liat brg abu janda trs danantara masuk blackrock hahaha,0,0,True
karena tikus2 nya sudah menguasai danantara https://t.co/G1GIdMmOiw,tikus2 nya kuasa danantara,0,0,True
@reaareaa__ Langkah Presiden Prabowo support Danantara bikin aku makin bangga,langkah presiden prabowo support danantara bikin bangga,1,1,True
@FrediRandi4 Masa depan Indonesia makin cerah Joint Fund bareng Danantara adalah mimpi besar Presiden Prabowo yang jadi kenyataan,indonesia cerah joint fund bareng danantara mimpi presiden prabowo nyata,1,1,True
Berita Danantara ini isinya ''akan'' terus. Belum ada yang riil kah?,berita danantara isi riil kah,0,0,True
@reaareaa__ Dengan support Presiden Prabowo Danantara buktiin Indonesia bisa punya produk kelas dunia,support presiden prabowo danantara buktiin indonesia produk kelas dunia,1,1,True
5/ Dengan Danantara Indonesia bisa lebih mandiri dalam membiayai pembangunan tanpa bergantung pada pinjaman asing. Era baru investasi nasional dimulai! 🇮🇩 https://t.co/ViaxQ1Gmjw,5 danantara indonesia mandiri biaya bangun gantung pinjam asing era investasi nasional,1,1,True
muak bgt sumpah muak bgt pengen pindah ke jepang!!! danantara baru di rilis langsung keluar berita korupsi Pertamina dan isu danantara pun tenggelam pagar laut apa kabar? danantara aja 14rb T lohh,muak bgt sumpah muak bgt ken pindah jepang danantara rilis langsung berita korupsi pertamina isu danantara tenggelam pagar laut kabar danantara aja 14rb t lohh,0,0,True
Gaush bingung lg ada danantara Tujuan utama (walo ga ngaku) buat biayain 2029 Siapa yg maju tinggal deal2an deh,gaush bingung lg danantara tuju utama walo ga ngaku biayain 2029 yg maju tinggal deal2an deh,0,0,True
"@Mata_Netizen62 @Urrangawak @Roebanie @Marbot_Udien @HumorJonTampan @ch_chotimah2 @BiLLRaY2019 @ahmad_bellamy @barengwarga @Cintada16 @merapi_uncover keluarga &amp; kroni jokowi menciptakan gangster yg terstruktur selain pertamina blok medan dll.. hingga mafia tanah berkedok investasi &amp; infrastuktur seperti halnya yg dilakukan Meksiko filipina (Rodrigo Duterte) itali (Cosa Nostra atau 'Ndrangheta) dll Danantara #zelena,keluarga kroni jokowi cipta gangster yg struktur pertamina blok medan dll mafia tanah kedok investasi infrastuktur hal yg meksiko filipina rodrigo duterte itali cosa nostra ndrangheta dll danantara zelena,0,0,True"
@JedTeguh03 Dukungan Presiden Prabowo ke Danantara bener-bener buktiin komitmen buat masa depan yang lebih baik,dukung presiden prabowo danantara benerbener buktiin komitmen,1,1,True
@kimsiloveu @Saham_fess jawaban seriusnya : bisa aja naik lagi asal danantara berjalan berhasil trus sentimen asing ke indo jadi positif jadi IHSG bisa naik lagi jawaban realistisnya : ajgg pemerintahnya kyk gini bikin kebijakan suka suka mereka gmn mau naik anjir fakk. harus nunggu ganti presiden,serius aja danantara jalan hasil trus sentimen asing indo positif ihsg realistis ajgg perintah kyk gin bikin bijak suka suka gmn anjir fakk nunggu ganti presiden,0,0,True
sibuk mencari dalang dari cocokologi sementara danantara sudah sangat amat jelas ditunggangi asing mantan koruptor. dongo? jelas.,sibuk cari dalang cocokologi danantara tunggang asing mantan koruptor dongo,0,0,True
@es75035 Danantara aja jor-joran. Tapi buat ini kayak ngasih recehan https://t.co/zbEpo2Hyuh,danantara aja jorjoran kayak ngasih receh,0,0,True
@capybaraaaa_16 Danantara otw nyusul menuju indonesia rungkad https://t.co/V7mJEk6TOU,danantara otw nyusul indonesia rungkad,0,0,True
