full_text,label
@Boediantar4 @prabowo @bang_dasco @Gerindra Zaman Soeharto ada kesempatan durian runtuh minyak bumi tp dikorupsi. Zaman Jokowi ada kesempatan dan minyak sawit tp..... Souvereign Weatlh Fund mll https://t.co/dY2KHmN3ZV era Jokowi mrp upaya menarik tp spt tdk serius. Zaman Prabowo mo resmikan danantara tp maju mundur.,0
Bayangkan jika setiap warga Indonesia jadi jutawan sejak lahir! Apa peran Danantara dalam mewujudkan mimpi ini? Simak pandangan Ichsanuddin Noorsy. #Danantara https://t.co/1WSlY9rQzS,2
Ini contoh negeri yang bumi air dan kekayaannya dikuasai negara untuk sebesar-besar kemakmuran rakyat. Ambil alih aja semua hak pertambangan dari pengusaha dan ormas. Jadi aset Danantara. Termasuk pabrik air mineral.,1
Danantara Indonesia akankah meniru model Temasek Singapura atau Khazanah Malaysia? Simak ulasan Toto Pranoto pengamat BUMN soal masa depan sovereign fund ini. #Danantara https://t.co/xLgZ02Fc1w,2
@ARSIPAJA ok kl gt jd kpn uu superholdings danantara ada @DPR_RI @erickthohir,2
MIMPI INDONESIA TANPA HUTANG . . . ? Konsep Ini Bisa Jadi JAWABAN . DANANTARA Yang Mungkin Bisa Jadi Solusinya. Oleh : Ichsanuddin Noorsy Indonesia Raya ðŸ‡®ðŸ‡© https://t.co/q2rsK3GV8h,1
 NEGARA MEMANGGIL Putra - Putri Terbaik Yang Memiliki INTEGRITAS Tinggi .. - KOMPETENSI CERDAS dan JUJUR Dibalik Tarik Menarik di DANANTARA Pertanyaannya : Apakah KORUPSI Jadi Akar Masalahnya ...? INDONESIA RAYA MERDEKA. ðŸ‡®ðŸ‡© https://t.co/BtzFZLivCA,0
Apakah Indonesia bisa bebas utang? Simak konsep menarik Danantara yang mungkin jadi solusinya! #Danantara #EkonomiIndonesia https://t.co/5r8q16fUYK,1
Danantara masih jadi sorotan! Apa langkah Pemerintah selanjutnya dalam mengelola aset strategis ini? Simak pandangan dari pengamat BUMN Toto Pranoto. #Danantara #EkonomiIndonesia https://t.co/uco0HB0vil,2
Menteri BUMN Erick Thohir mengungkapkan revisi UU BUMN mencakup Badan Pengelola Investasi Danantara. Begini katanya. https://t.co/D8A0mRgwor,2
Erick Thohir Sebut DPR inisiasi BP Danantara Masuk dalam RUU BUMN. Erick membenarkan RUU BUMN itu salah satunya membahas pembentukan Badan Pengelola Investasi Daya Anagata Nusantara atau BP Danantara https://t.co/QInxQ7MDNN,2
Pembentukan Badan Pengelola Investasi Daya Anagata Nusantara (BPI Danantara) belum terealisasi hingga saat ini. Rencana awal dilakukan pada November tahun lalu. Presiden Prabowo Subianto diharapkan serius untuk membentuk BPI Danantara untuk kesehatan BUMN di Indonesia. Ekonom https://t.co/fE8vnKkFpG,2
Erick Thohir: Perubahan UU BUMN Bakal Atur BPI Danantara https://t.co/CaW6x0Lcru,2
Pemerintah melalui Menteri BUMN @erickthohir menyerahkan DIM RUU BUMN untuk selanjutnya dibahas dalam pembahasan TK 1 bersama Komisi VI DPR. Revisi UU ini dimaksudkan untuk meningkatkan kinerja BUMN kedepan dan mejadi legal standing Badan Investasi Danantara. Insya Allah membawa https://t.co/0oV4YzNArw,1
RUU BUMN Digodok Komisi VI Sebut BPI Danantara Akan jadi Mitra Kerja di DPR https://t.co/t8BcxS91SW,2
PEMBENTUKAN Badan Pengelola Investasi (BPI) Daya Anagata Nusantara (Danantara) perlu dipercepat. Jika perlu Presiden Prabowo Subianto turun langsung menakhodai percepatannya. https://t.co/zxQZp3Tfjl,1
Bahas RUU BUMN di DPR Erick Thohir Singgung Pembentukan Danantara https://t.co/dWASZVeiS2,2
Kementerian BUMN mengajukan RUU perubahan UU BUMN untuk optimalisasi pengelolaan dan pembentukan BP Danantara. https://t.co/gs48DZM739,2
@brorondm @erickthohir Lg susah dia bang.. ada danantara skg bumn yg untung2 diembat tim prabowo bumn karya habis ini g dikasi kerjaan jg krn dikasi swasta mumet dia..,0
Erick Thohir Singgung Pembentukan Danantara dalam Pembahasan RUU BUMN https://t.co/bdEIbjnCXi,2
DPR &amp; Pemerintah Mulai Bahas Revisi UU BUMN Singgung Pembentukan Danantara. Kementerian BUMN mengajukan RUU perubahan UU BUMN untuk optimalisasi pengelolaan dan pembentukan BP Danantara. https://t.co/77tBguc4zV,2
CELIOS: Pembentukan Danantara Perlu Dipercepat #Danantara https://t.co/H9ZNbU8QrA,1
Danantara Diyakini Bisa Jadi Mesin Penggerak Ekonomi Nasional yang Tangguh Pengamat menyambut positif pembentukan super holding BUMN Danantara. Direktur Parameter Politik Indonesia (PPI) Adi Prayitno meyakini Indonesia memiliki segala potensi untuk menjadikan Danantara https://t.co/Zf5RLureEI,1
@GOAL_ID @erickthohir belum dibayar ya kompensasinya STY lagi sibuk mengeruk BUMN kah anda Mumpung belum jadi Danantara...,0
Peluncuran Badan Pengelola Investasi Daya Anagata Nusantara (BPI Danantara) belum menemui titik terang. https://t.co/dlCGDdFoc4,2
Ekonom CSIS: Pembentukan Danantara Jadi Ajang Reformasi BUMN https://t.co/TLjf5GTcIA,1
Peluncuran Danantara Belum Jelas Ada Apa? Peluncuran Badan Pengelola Investasi Daya Anagata Nusantara (BPI Danantara) belum menemui titik terang. https://t.co/nueuP4xlB8,2
@_haye_ @revolutia Ngga liat ada larangannya sih. Juga bisa dibuat SPV untuk itu. Lembaga penjamin investasi udah ada. Juga ada Danantara kalau investornya perlu jaminan lain.,2
@iMedKrisna Dah ada INA malah bikin payung baru Danantara. INA nya masuk situ ,0
Dari potensi pengalihan aset besar-besaran hingga konflik kepentingan di level kementerian banyak yang mempertanyakan: siapa sebenarnya yang berusaha menghambat realisasi Danantara? Di balik layar apakah ini pertarungan politik ekonomi atau kombinasi keduanya? Saksikan,2
Danantara sebuah konsep ambisius sebagai superholding BUMN telah memicu perdebatan luas terkait potensi dan tantangannya. Dengan nilai aset yang luar biasa Rp9.400 triliun tujuan utamanya adalah meningkatkan efisiensi dan daya saing BUMN di level global. Jika terealisasi https://t.co/9EuGwvtkt6,2
BP Danantara Ditunda DPR Dorong Penguatan Tata Kelola BUMN yang Berkelanjutan https://t.co/NTTTFuT5IS,2
Ekonom Endus BPI Danantara Berpotensi Jadi Sumber Korupsi Baru https://t.co/xEjlgV8nNZ,0
Pembentukan Danantara Mandek Adi Prayitno Usulkan Terobosan https://t.co/AEXFCpsbI1,2
Danantara Dinilai Mampu Kelola Aset Negara ke Level Lebih Tinggi https://t.co/BepUgXOYSL,1
Setiap hari selalu ada gangguan di mobile banking. Di @BankBCA tdk pernah ada sekalipun yg namanya gangguan. Bener2 parah bank BNI ini. Semoga lah ketika dibentuk superholding Danantara para binatang2 yg jd Direksi di BNI pd dipecat2in,0
2 Hal Ini Bisa Jadi Kunci Ekonomi RI Capai 8%. Pemerintah menargetkan pertumbuhan ekonomi RI mencapai 8% melalui FDI dan BP Danantara. https://t.co/dRpTihx381,2
Bisa Datangkan Investasi dan Transparansi INDEF sebut Danantara Mampu Kelola Aset Negara ke Level Lebih Tinggi https://t.co/wORGwjGxvH,1
@bankmandiri Sesudah DANANTARA jala sdh gak ada raja kecil dalam bank BUMN HIMBARA,1
@indoinsidenews ngayal amat. Apa hubungannya Danantara dg aset 9000T dg pertumbuhan 8%? Ngayal,0
@indoinsidenews Saham BUMN Perbankan berjatuhan saat DANAntara diumumkan,0
Danantara superholding BUMN yang digagas untuk mengelola aset senilai Rp9.400 triliun dianggap sebagai langkah luar biasa untuk mendongkrak ekonomi Indonesia hingga tumbuh 8%. Namun hingga kini peluncurannya terus tertunda memicu berbagai spekulasi. Apakah ini murni kendala https://t.co/JHDceYKgTJ,2
Oligarki Sudah Menguasai Indonesia https://t.co/XV5Ag48eAR itulah kaya ekonom alternatif dalam obrolan di kanal Youtube saya. Mengana Danantara tak kunjung disahkan?,0
Wamenkeu THOMAS DJIWANDONO Memberikan Penjelasan Terkait Program DANANTARA Yang Tak Kunjung Diluncurkan Oleh Presiden PRABOWO Setelah Sebelumnya Santer Akan Diluncurkan Pada Akhir Tahun Lalu. Happy weekend MERDEKA ðŸ‡®ðŸ‡© https://t.co/rF2ZKwyBUP,2
Rasanya di Januari pun tidak bisa. Masa depanÂ DanantaraÂ (Daya Anagata Nusantara) belum bisa segera diputuskan. https://t.co/Flgff6YmOi,2
Lobi besar menjadi penghalang PT Danantara: Akankah reformasi BUMN yang dijanjikan mampu direalisasikan? Saksikan selengkapnya hanya di https://t.co/zuIUdtEdTV https://t.co/yuzKh9ZDRY #EkonomiIndonesia #Danantara https://t.co/1atsqHO23c,2
#SilakanSimak. Semakin terlihat bhw Bpk Presiden @prabowo dihambat oleh Menteri Jokowi. Rencananya PT Danantara sbg pengganti Kementerian BUMN utk pengelolaan BUMN tgl 16 Januari tapi sepertinya dihambat oleh Menteri BUMN shg langkah tsb batal. https://t.co/IBjL9K7tS3,0
Oh ya? Ditunggu revisi UU BUMN dan launching Danantara nya pak,1
Danantara Jangan Direcoki Kepentingan Politik https://t.co/1TvwUKaRc0,1
@prastow @jokowi Keputusan Presiden @prabowo untuk membentuk Danantara (yg saat ini dipimpin oleh Mulyaman Hadad) sudah sangat tepat dan strategis utk kepentingan pemerintah dan negara. Kita tidak perlu Family Office !,1
@CNNIndonesia @prabowo @alisyarief @tempodotco Presiden telah membentuk Danantara dan itu sangat bagus dan strategis bagi kepentingan pemerintah dan negara.. bukan family office. cc: @Gerindra,1
Danantara dinilai bisa jadi lebih baik dari Temasek milik Singapura dan Khazanah yang diinisiasi Malaysia. Syaratnya yakni dikelola independen dan bebas campur tangan politik. https://t.co/b8ERW1Yl4R https://t.co/LnitHDoo7p,1
Didik J Rachbini: Danantara itu Ide yang Bagus https://t.co/IEOdXQTWZw,1
Danantara Dinilai Mampu Mengungguli Temasek Ini Syaratnya https://t.co/q0cXEsDOmL,1
@CNNIndonesia setelah BUMN tenggelam saatnya Danantara terbit ! So netizen kita akan mendapatkan banyak kejutan didepan sana.. jangan dihabiskan emosi kalian sekarang. ,1
Wamen Keuangan Thomas Djiwandono Buka-bukaan Alasan Prabowo Bentuk Danantara #SAT2025 https://t.co/XBKs67VagF lewat @idntimes,2
Peresmian Badan Investasi Daya Anagata Nusantara (Danantara) masih alot. Wakil Menteri Keuangan II Thomas Djiwandono memastikan Danantara tetap akan diluncurkan walaupun bukan dalam waktu dekat ini. https://t.co/Ri2UJFWYxR https://t.co/tXYsLGvFYZ,2
Guru Besar UGM: Danantara Bisa Lampaui Temasek dan Khazanah https://t.co/JezMs2lo2s,1
Dinilai Cukup Kompleks Wamenkeu Thomas Sebut Danantara Belum Diluncurkan Bulan Ini https://t.co/JZH1S79REj,2
Jangan salah! Danantara hadir bukan untuk menyelamatkan BUMN yang sakit tapi untuk mengelola aset BUMN sehat agar lebih terarah &amp; efisien. Dengan total aset Rp9.480 triliun akankah ini jadi solusi ekonomi Indonesia? ðŸ‡®ðŸ‡© Saksikan selengkapnya hanya di https://t.co/Az6aJwKlke,2
Wamenkeu Thomas Djiwandono mengonfirmasi bahwa peluncuran lembaga investasi Danantara ditunda dan belum akan terjadi pada Januari 2025. Kenapa? https://t.co/1uSSUjU7Wm,2
Wakil Menteri Keuangan Thomas Djiwandono mengungkap Badan Pengelola Investasi Daya Anagata Nusantara (BP Danantara) belum bisa diluncurkan bulan ini. #bisnisupdate #update #bisnis #ignews https://t.co/kaV3G48vHh,2
@indoinsidenews Harusnya Danantara itu berbentuk perusahaan PT Danantara,2
Danantara Tak Kunjung Diresmikan Bagaimana Dampaknya terhadap Investasi RI? https://t.co/svpccJKnFA,2
BPI DANANTARA solusi cerdas semoga tidak ada yang alergi dan kemudian coba menghalang-halangi,1
@stockmapping Ntar aja lah klo Danantara udah jelas arahnya mau kemana. Ntar baru IPO udah harus otak-atik daleman lagi karena mau Danantara.,2
@indoinsidenews Harga Saham2 plat merah berjatuhan karena mereka tidak bisa menjadi raja lagi ada KAISAR baru negeri DANAntara,0
@Saham_fess Efek danantara dan potensi bbri jadi sapi perah wkwkw,0
Danantara Dinilai Bakal Beri Kontribusi Positif ke Perekonomian Peluncuran Badan Pengelola Investasi Daya Anagata Nusantara atau dikenal Danantara yang direncanakan pada 7 November 2024 terpaksa ditunda. Sebab peraturan pemerintah dan peraturan presiden (perpres) yang menjadi https://t.co/7aEWUURcso,1
Danantara Kelola Aset US$ 600 Miliar Ada Imbas ke Ekonomi? https://t.co/qDBUtgUWqw via @InvestorID,2
Danantara Bakal jadi Pilar Baru Ekonomi Nasional https://t.co/1lYOyxrOUm,1
@officialinews_ @prabowo @mkiofficial_ @KementerianESDM @KemenBUMN @BappenasRI @kemenkop_ @itbofficial @sbmitb @OFFICIAL_SAPPK @Danantara_ri @bahlillahadalia @NJIT_Civil @icacoop @WIPO @ICA_AFRICA1 @ICAAPAC @dotCoop @UNDESA @ilocoopsse @bsn_sni @IECStandards @isostandards @ITU #LAPOR: Tertulis dalam Keppres No: 1/ 2025 Ahmad Erani Yustika adalah Sekretaris Satuan Kerja. Saatnya PII Construction Engineering &amp; Management difungsikan untuk menegakkan Definisi Energi Nasional: Prasyarat Percepatan Industri Hilirisasi berbasis Kemandirian Energi Nasional https://t.co/SDHHpRLlyZ,2
Danantara dirancang untuk mengelola investasi besar yang ditujukan untuk mendorong pertumbuhan ekonomi mempercepat pembangunan infrastruktur dan meningkatkan daya saing Indonesia di tingkat global. https://t.co/TC5smWrU8s https://t.co/toUYt7ZLwf,2
Keberhasilan Danantara sangat bergantung pada kemampuan untuk mengatasi tantangan integrasi transparansi dan risiko politisasi. #Headline https://t.co/Ou9NxN2yRJ,2
Mengurai Hikmah dari Superholding Dunia Peluang dan Tantangan Danantara https://t.co/z1cDdQh5xq,2
@famajiid Tolong kupas sekalian arti kunjungan PM Singapura November lalu yang dibarengi ramainya pemberitaan soal rencana peresmian berdirinya Danantara. Kenapa peresmian badan pengelola investasi yang konon semirip Temasek ini mendadak dibatalkan?,2
@erickthohir @prabowo @alisyarief @tempodotco Ingat bahwa pendirian Danantara (yg saat ini dipimpin oleh Mulyaman Hadad) telah menyisakan BUMNÂ² yang bermasalah.. memang tidak semuanya tapi cukup banyak seperti BUMNÂ² Karya Farmasi Krakatau Steel Garuda KAI (terkait KCIC) dan juga Freeport.,0
@wargapanam Jangan sampe Danantara/MBG jadi kayak 1MDB ,0
Asa BUMN Terbang Tinggi 2025 Bagaimana Danantara bisa menjadi superholding company yang cocok dengan kebutuhan Indonesia di masa depan? Baca Toto Pranoto di Opini Kompas https://t.co/EJ5mqpxJXT @hariankompas,2
Bagaimana Danantara bisa menjadi superholding company yang cocok dengan kebutuhan Indonesia di masa depan? #Opini #AdadiKompas https://t.co/zXKXNssnNk,2
Bagaimana Danantara bisa menjadi superholding company yang cocok dengan kebutuhan Indonesia di masa depan? #Opini #AdadiKompas https://t.co/va5aFhhZLW,2
@adittyajulmi @CNNIndonesia Tenang ada Danantara... Danantara NDASMU,0
@Marchfoward Kami selalu bersama Malaysia sebagai saudara 1 rumpun Malaysia ada skandal korupsi 1mdb Indonesia akan mengalahkan Malaysia dengan korupsi Danantara ,0
@catuaries iya ini sengaja dibanting biar low base effect pada saat mulai danantara ,0
@romoatheist @prabowo @kemendagri @KPK_RI @bpkri Ini para ternak mukidi dan PS lagi di suruh serang pejabat PDI P habis dapat bayaran.semua serang.tapi goblok dia yang jadi tikus sama kavlingan laut pada diem.danantara jelas sangat merugikan rakyat pada diem kan asuuu.cocoxt buzer mukidi dan PS kaya asuuu maling teriak maling,0
@carcur1209 @JhonSitorus_18 Mantan napi korupsi ehh jd pemimpin danantara,0
@Marchfoward Haha Irfan selain Pertamina kami punya Danantara yang kemungkinan besar bisa berakhir seperti 1MDB Malaysia,0
@faizalassegaf Makanya itu jangan mau jd kepanjangan tangan oligarki yg lg ketakutan kebongkar boroknya Dan bukan cmn oligarki tapi negara2 yg zona nyamanya terdampak hilirasasi energi sbg senjata perang danantara bank emas ga akn tgl diam Ini yg lum banyk disadari !!,1
Nyampe 5 tahun ga ya danantara? 2 tahun juga pesimis ,0
#Danantara paham ngene iki ora yo?,0
@Marchfoward Indog akan menyusul 1MDB dengan kekuatan penuh dari DANANTARA,0
@tempodotco Jangan sampai uang danantara dipakai buat IKN seolah2 ada investor asing /lokal yg bangun padahal investornya danantara. Pasti habislah duit yg ada di danantara.,0
Gimana orang mau percaya sama Danantara? Negeri ini banyak begundal,0
@berlianidris Turunin pajak balik ke 10 persen batalin MBG batalin Danantara,0
@raymondchins Semoga tidak untuk menggeser berita tentang danantara saja... ️,0
resah gw bingung harus pindah dana tabungan kemna gara2 danantara,0
@Marchfoward Hei irfan! Jangan banyak cakap kau! Selain Pertamnina kami ini sekarang punya Danantara sebentar lagi akan mengalahkan 1MDB hahaha,0
next: danantara?,2
@Mdy_Asmara1701 mengelola sebagian kewenangan.. bukan keseluruhan.. saham tetap milik negara RI bukan danantara baca undang2 blok sebelum ngoceh,2
@diharirabu @Marnischaniago2 @aniesbaswedan Malah bikin Danantara yang tidak pernah dijanjikan saat pilpres. Artinya apa? Ganti saja,0
fr tho sebenarnya anggarannya ada cuma kedok efisiensi aja supaya ngalir ke danantara,0
@aleksa14045 Danantara,2
@rezaffhonna @CNNIndonesia Danantara nih harusnya jadi dana talangan perusahaan agar Tidak PHK karyawan,1
@idnewcastle_ Danantara: santai dlu ngga sih,2
Sambut Peluncuran Danantara ADHI Berkomitmen Optimalkan Aset Negara untuk Kepentingan Rakyat https://t.co/9RoFUUgfLR #danantara #adhi #asetnegara #rakyat #beritaterkini #indonesia,1
Temen gw ngmg buat nutupin kasus danantara wkwkw,0
@agnes_meri93192 @kegblgnunfaedh Kalau danantara nggak bisa failed kak itu uang rakyat banyak banget di taruh di situ. Harus selalu dipantau publik biar nggak jadi bancakan,0
@arwidodo Dulu saat kampanye Jokowi tidak ngomong soal IKN ternyata sama sj dg PS saat kampanye tidak ngomong soal Danantara. Tapi setelah menjabat mrk lupa pada janji kampanye dan sibuk melaksanakan program2 yg tidak sesuai dg janji awalnya,0
@embahjsx betul mbah.. Danantara harusnya sudah established di 2007-2008 saat APBN tipis harga dan produksi komoditi naik pesat. duit sisa banyak.. SBY diusulin tapiiii..ya gitu lah,0
@kompascom Apakah Danantara bakal jd rekor selanjutnya? Saksikan bersama,2
@tempodotco Dibalik harusnya danantara bantu pemerintah bijimane ceritanye..klo begini mau maling lu?,0
@naiserule @pangeransiahaan Semoga IHSG turun sampe di bawah 2 ribu biar ritel dan danantara murah nyeroknya. Amiin.,1
@AlnilamOmar Waalaikumusalam Gelar tiker siapa tau ada yg lebih bombastis lagi atau ini cara menutupi kekuatiran atas byk kebijakan spt Danantara n bank emas?,0
Wayah iki tontonan yutub e rodo berbobot tapi marake ngelu karo emosi nyimak e pertamina danantara efisiensi anggaran,0
bad news karena maksud terselubungbnya untuk install kacung kacung danantara sehingga semua smooth mesti bumn nya yang pontang panting,0
Peresmian Danantara lembaga pengelola investasi milik pemerintah Indonesia mendapat banyak respon negatif. Apakah danantara mampu menuntaskan permasalahan ekonomi? Simak penjelasan dalam video berikut. https://t.co/v27jFWzroq Jangan lupa share seluas-luasnya https://t.co/eoQOJC4Gtv,2
@chaeriysf @IndoPopBase Danantara juga skrg,2
@satriohendri Ketika para garong bersatu mendirikan danantara fiX. Udah gak ada harapan kecuali people power. Krna mereka punya dana super gede bisa beli polisi bisa beli militer dll,0
@tanyarlfes Rakyat teriak adili Jokowi!!! Prabowo teriak hidup Jokowi!!! Rakyat teriak Free Palestine!!! Prabowo ajak dalang pembunuh Rakyat Palestine jadi Dewas Danantara. Omon.. Omon..,0
Danantara: Antara Mimpi Kesejahteraan Rakyat dan Hasrat Memperpanjang Kekuasaan Ekonomi-Politik https://t.co/sE2M0sD3cq https://t.co/wRVdOLqJ7N,0
Korupsi pertamina tiba2 muncul disaat pentingnya isu Danantara dan #IndonesiaGelap . Skema yang sering digunakan penguasa!,0
@Lembayung071 @prabowo @gibran_tweet @KemensetnegRI @setkabgoid Jogejoget ketika rakyat sedang menahan amarah karena kasus pagar laut oplosan Pertamax PHK massal Danantara yg potensi korupsi. Pemimpin yg tidak peka.,0
*Diskusi Lintas Almamater Soroti Danantara dan Kepemimpinan Nasional* https://t.co/7RAI7sCP1C,2
@StefanAntonio__ Percayalah emas lu bakal hilang ditelan danantara Lu pade akan melarat dibuatnya,0
@ganzuii @muhammadiyah Kelola danantara koq ga ada juga?,0
Danantara Indonesia menjadi sorotan dalam mengoptimalkan investasi pemerintah demi pertumbuhan ekonomi nasional. Simak video selengkapnya di kanal YouTube KompasTV! #KementerianInvestasidanHilirisasi #InvestasiTumbuhIndonesiaMaju #investasi #hilirisasi #bkpm,2
Hai #Investeam! Mari saksikan perbincangan ROSI bersama Menteri Investasi dan Hilirisasi serta Kepala BPI Danantara Indonesia dengan tajuk Danantara VS Kepercayaan Publik . Dengan nilai aset BUMN yang dikelola mencapai lebih dari Rp14.000 triliun https://t.co/RbXq15BeIv,2
@Mdy_Asmara1701 @MlayuTerus Ketakutan masyarakat apatah...apatah danantara tetap sudah diresmikan tinggalkan sekarang investor tertarik apa ga sich.,2
@tanyakanrl Beritain lebih heboh biar pertamax pagar laut dan danantara ngga ada dibahas lagi,0
deposit BNI dipake danantara beli emas gtwnya palsu trs rakyat kudu investasi apa njir??? gada yg bs dipercaya najis,0
Kelola Dana Jumbo Danantara Akan Dipantau KPK BPK Kapolri hingga Kejagung Jangan terjadi seperti 1MDB Malaysia.... @prabowo @Gerindra @KemenkeuRI https://t.co/4lfyr6jiIh,2
Untuk memutus mata rantai ketergatungan duid pempus lewat uu keuangan negara dan uu hukum kepada daerah (hkpd) Pemda must adopt strategic reserve of Bitcoin instead. Daripada Penyertaan Modal ke BPD dan BPR milik Daerah yg dividennya kecil itu + Bikin Danantara versi lokal,1
@Epricila10 sibuk ngumpulin duit di danantara sibuk cari pasal legalin pagarlaut.. sibuk apa lagi y,0
https://t.co/vMdJk2lsE6 Pengusaha dan influencer finansial Raymond Surya Chin kembali menjadi sorotan setelah mengkritik proyek investasi Danantara dalam sebuah unggahan di media sosialnya. Pendiri dan CEO Genesis ini #Raymond #raymondchin #danantara #investasimasadepan,2
DANANTARA: PANDUAN UNTUK ORANG IDIOT | PORTAL ISLAM https://t.co/Wx5NmkufLB BACA KALAU SEMPAT ATAU PUNYA KUOTA. ,0
Lihat video raka_wong! #TikTok https://t.co/PeDDKUnpbE puasa sahur sabtu pertamina danantara phk ramadhan subuh #serunyapuasaramadhan1446h,2
Semoga kebijakan danantara tidak menjadi pil pahit di kemudian hari yang mempengaruhi sistem dan komponen negara tidak melahirkan conflict of interets conflict of law abuse of fower overlapping kewenangan ketidakpastian hukum serta melemahnya badan pemeriksaan keuangan/BPK.,0
Kesempatan ; Buka pabrik piano sendiri pakai Danantara kasih merk YAWOWO,0
wkwk Indon bajingan udh dibahas. min nanti engkau bahas Danantara ya. Si Kentung itu dia tu sudah oper duit efisiensi ke Danantara. efisiensi nih kalo berjaya boleh korang pun tau ini Indon bodoh + licik pemerintahnya. korupsi saya tidak percaya akan berjaya Danantara tu,0
beneran gatau cara jawabnya karena gatau harus percaya siapa di kabinet ini... tp yang jelas hrusnya semua lebih waspada setelah ngeliat struktur pengurus danantara itu :),0
jadi gimana danantara??,2
kenapa si ricky? nunggu Danantara supaya bisa jalanin startupnya? nanti jadi bandar judol juga kek founder kemaren.,0
@prabowo Gak dulu ndut batalin dulu akal2an danantara. Turunkan pajak jadi 7%(ex : vietnam) hapus MBG Pangkas menteri jadi 30 minimal tanpa wakil. Baru nanti dimaafkan.,0
@SanaDuduk @Saham_fess Belum pernah ikut ketika Jerome Powell bersabda? Mau sabague apapun fundametal dibabat habis sama NEWS Rumor danantara yang akhirnya jadi news,2
cc Danantara yuk bisa yuk!,1
Pokoknya kalo ada korupsi dibuka pasti ada isu yg sedang ditutupin nih. Apa kabar Danantara? Apa kabar IKN? Apa kabar efisiensi extrim anggaran pendidikan? Apakabar demo mahasiswa #IndonesiaGelap2025 ?,0
Rangkap Jabatan Menteri merangkap di lembaga yg dibiayai oleh APBN. Menteri dan wakil menteri menduduki posisi sbgCEO dan COO DANANTARA. UU Kementerian Negara mungkin menurut pak @prabowo masih dibawah Keputusan Presiden.. https://t.co/FjGhyfNEI0 https://t.co/lOEgfIHTbT,0
Saya maafin asal danantara dibatalin sama dihukum mati para koruptor pak,0
@Hilmi28 Kayaknya bakal nambak klub baru tad... Danantara sama MBG siap gabung wkwkwkwkwkwk,2
@prabowo harus angkat @basuki_btp jadi CEO Danantara agar tidak salah investasi &amp; tidak dikorupsi!,1
Ini bisa diUp dengan Danantara kah. https://t.co/zBj0iUTi4m,2
Memahami Danantara dengan Mudah https://t.co/PSfGglB3jV lewat @YouTube,2
Danantara hadir BUMN tetap fokus menjalankan public service obligation untuk kepentingan rakyat. #berita #danantara #presidenprabowo #investasi #bumn #pso #publicserviceorganization #tepatsolutifindonesia #publicserviceobligation https://t.co/c6zR5eq5b6,1
Presiden Prabowo resmikan Danantara BUMN terus berkomitmen dalam public service obligation. #berita #danantara #presidenprabowo #investasi #bumn #pso #publicserviceorganization #tepatsolutifindonesia #publicserviceobligation https://t.co/zuDwPScmPT,1
Danantara diresmikan Presiden Prabowo BUMN tetap jalankan public service obligation demi masyarakat. #berita #danantara #presidenprabowo #investasi #bumn #pso #publicserviceorganization #tepatsolutifindonesia #publicserviceobligation https://t.co/7KHluscWEZ,1
@CherryBlawsome @mankewww @tanyakanrl Ini yang jawab nyari adrenaline mah nanggung amat. Nyari adrenaline tuh masang pagar bambu di laut ngoplos bensin pertamax atau naro duit di danantara,0
@TedInvestigasi Danantara ckup ga?,2
