Text,Text Clean,Label,Predicted Label,Correct;
Danantara bangsat ihsg jd gini astaga,Danantara bangsat ihsg jd gini astaga,0,2,False;
Pemberantasan korupsi di Danantara. https://t.co/XXcjcSgvy7,Pemberantasan korupsi di Danantara,2,0,False;
Akankah DANANTARA KEJEBLOS seperti 1MDB? #NEWS #DanantaraEkonomi https://t.co/sEXBwiUVga,Akankah DANANTARA KEJEBLOS seperti 1MDB NEWS DanantaraEkonomi,0,2,False;
BPI Danantara dapat mendorong investasi di berbagai sektor termasuk hilirisasi industri. https://t.co/LLyxbHuGmR,BPI Danantara dapat mendorong investasi di berbagai sektor termasuk hilirisasi industri,1,0,False;
Ini contoh negeri yang bumi air dan kekayaannya dikuasai negara untuk sebesar-besar kemakmuran rakyat. Ambil alih aja semua hak pertambangan dari pengusaha dan ormas. Jadi aset Danantara. Termasuk pabrik air mineral.,Ini contoh negeri yang bumi air dan kekayaannya dikuasai negara untuk sebesarbesar kemakmuran rakyat Ambil alih aja semua hak pertambangan dari pengusaha dan ormas Jadi aset Danantara Termasuk pabrik air mineral,1,0,False;
@Muhikhsan52 @LembagaKERIS Danantara hanya gabungan holding MBG sebagai aset masa depan Klw ini bertahan terus ya makin banyak APBN Kata srimul surplus 8% dari nilai total APBN,Danantara hanya gabungan holding MBG sebagai aset masa depan Klw ini bertahan terus ya makin banyak APBN Kata srimul surplus 8 dari nilai total APBN,2,0,False;
Gw ngomongin danantara emak ga terima prabski dikatain well ‍↔️,Gw ngomongin danantara emak ga terima prabski dikatain well,2,0,False;
@rvsescruxpil makanyaaa itu dananya kemana ke danantara kali wkwk,makanyaaa itu dananya kemana ke danantara kali wkwk,0,2,False;
Danantara sedang gas rem gas rem di lintasan belakang..,Danantara sedang gas rem gas rem di lintasan belakang,2,0,False;
Danantara Indonesia #BPIDanantara #PembangunanNasional #SektorStrategis https://t.co/oJEEPfTLTB,Danantara Indonesia BPIDanantara PembangunanNasional SektorStrategis,2,1,False;
@shitlicious Bisa dikatakan jauh lebih mengena isu korupsi pertamina karena produknya digunakan sehari-hari oleh masyarakat daripada danantara,Bisa dikatakan jauh lebih mengena isu korupsi pertamina karena produknya digunakan seharihari oleh masyarakat daripada danantara,2,0,False;
Lalu ada juga yang lagi berharap dilirik Danantara karena kalau ekspansi memang butuh modal hingga ada yang kejepit dengan liabilitas jangka pendeknya.,Lalu ada juga yang lagi berharap dilirik Danantara karena kalau ekspansi memang butuh modal hingga ada yang kejepit dengan liabilitas jangka pendeknya,1,2,False;
@KangManto123 Pak simon dr gerindra masuk pertamina bulan nov 24 saya heran kok bawahnya ga ada yg diganti ya? Trnyata tdk sesimple diganti gt aja. Disikat! Soon bumn lain yg akan gabung danantara. Jgn pada kaget nanti,Pak simon dr gerindra masuk pertamina bulan nov 24 saya heran kok bawahnya ga ada yg diganti ya Trnyata tdk sesimple diganti gt aja Disikat Soon bumn lain yg akan gabung danantara Jgn pada kaget nanti,2,0,False;
Danantara itu manajer investasi Bukan kayak jiwasraya asabri bahkan BPJS yang ambil dana nasabah rakyat. Apakah tidak bisa dituntut? Jika ada kesalahan dari BUMN ya tentunya bisa seperti kasus korupsi PT Pertamina Patra Niaga yang diproses kejaksaan..,Danantara itu manajer investasi Bukan kayak jiwasraya asabri bahkan BPJS yang ambil dana nasabah rakyat Apakah tidak bisa dituntut Jika ada kesalahan dari BUMN ya tentunya bisa seperti kasus korupsi PT Pertamina Patra Niaga yang diproses kejaksaan,2,0,False;
Asal-usul Danantara ide lama yang kembali hidup! Dari Sumitro Djojohadikusumo di era '80an kini jadi prospek cerah BUMN menurut Erick Thohir. Saatnya BUMN bersinergi &amp; bertumbuh! #Danantara #BUMN #InvestasiIndonesia https://t.co/UTCxARWEBJ,Asalusul Danantara ide lama yang kembali hidup Dari Sumitro Djojohadikusumo di era 80an kini jadi prospek cerah BUMN menurut Erick Thohir Saatnya BUMN bersinergi dan bertumbuh Danantara BUMN InvestasiIndonesia,2,1,False
@unameeY @irvanbanuya @0tk0il ya beda lah. Danantara lembaga investasi baitul maal lembaga zakat. Investasi buat keuntungan zakat buat charity.,ya beda lah Danantara lembaga investasi baitul maal lembaga zakat Investasi buat keuntungan zakat buat charity,2,0,False;
Ngobrol sama teman yang golongan 56% ternyata doi ga tau soal danantara dan menganggap pemerintahan sekarang bagus bagus aja,Ngobrol sama teman yang golongan 56 ternyata doi ga tau soal danantara dan menganggap pemerintahan sekarang bagus bagus aja,2,0,False;
@kompascom Pak ngapa ga pakai uang danantara aja yang udah terkumpul hampir 300T @prabowo,Pak ngapa ga pakai uang danantara aja yang udah terkumpul hampir 300T,0,2,False;
@bucincowogepenk @tekarok007 Lah kayak gatau mainan bandar aja danantara udah serok banyak itu kocak,Lah kayak gatau mainan bandar aja danantara udah serok banyak itu kocak,0,2,False;
@eko_is @Mdy_Asmara1701 Akankah dimasa depan Danantara menduduki puncak klasemen?,Akankah dimasa depan Danantara menduduki puncak klasemen,2,0,False;
@sangmemequeen Efek danantara hahaha,Efek danantara hahaha,2,0,False;
@ARSIPAJA 1) Ray Dalio TIDAK MAU DIKAITKAN sbg ADVISOR di Danantara (https://t.co/aq9wyax7h7) 2) MENGAPA? 3) Silakan direnungkan!,1 Ray Dalio TIDAK MAU DIKAITKAN sbg ADVISOR di Danantara 2 MENGAPA 3 Silakan direnungkan,0,2,False;
Logikanya SosRepLibDemSosKom bkl lebih serius ngurusnya kalo dah di Danantara; Itu idup-matinya mrk.,Logikanya SosRepLibDemSosKom bkl lebih serius ngurusnya kalo dah di Danantara Itu idupmatinya mrk,2,0,False
rakyatnya peduli Palestine effort untuk boycott. pejabatnya malah jadiin mantan PM Inggris pro zionist jadi dewas danantara goblok,rakyatnya peduli Palestine effort untuk boycott pejabatnya malah jadiin mantan PM Inggris pro zionist jadi dewas danantara goblok,2,0,False;
@as_siglie Banyak sekali penyesatan2 tentang Danantara ini https://t.co/YVqKSoQjzK,Banyak sekali penyesatan2 tentang Danantara ini,2,0,False;
@geloraco Bongkarr disaat danantara Launching adalah timing terbaik..,Bongkarr disaat danantara Launching adalah timing terbaik,0,1,False;
@dheppylovelly Masyarakat Indonesia siap kawal transparansi Danantara biar hasilnya benar-benar menguntungkan,Masyarakat Indonesia siap kawal transparansi Danantara biar hasilnya benarbenar menguntungkan,1,2,False;
@PartaiSocmed Yakin dan telitilah.. Maka sebentar lagi akan muncul kasus sipil yg viral sebagai smokescreen atas kisruh Danantara dan Kisruh Pertamina tersebut.,Yakin dan telitilah Maka sebentar lagi akan muncul kasus sipil yg viral sebagai smokescreen atas kisruh Danantara dan Kisruh Pertamina tersebut,0,2,False;
@Themarshallisme @CarolineSarah5 Efisiensi kan terjadi karna itu. Bunga sama pokok utang jatuh tempo yang tinggi banget di tahun2 deket ini. Bukan sepenuhnya karna MBG sama Danantara,Efisiensi kan terjadi karna itu Bunga sama pokok utang jatuh tempo yang tinggi banget di tahun2 deket ini Bukan sepenuhnya karna MBG sama Danantara,2,0,False;
Ketika bisnis model DANANTARA itu sebagai rumah harta negara yang dijalankan di luar konstruksi dan paradigma sistem riba (bank dan uang fiat) maka akan terjadi lompatan peradaban. #Riba #Dajjal,Ketika bisnis model DANANTARA itu sebagai rumah harta negara yang dijalankan di luar konstruksi dan paradigma sistem riba bank dan uang fiat maka akan terjadi lompatan peradaban Riba Dajjal,1,2,False;
adakah yg bisa kita lakuin buat stop danantara anjeng???,adakah yg bisa kita lakuin buat stop danantara anjeng,0,2,False;
@michell29317821 @KemenBUMN @TelkomIndonesia Danantara makin canggih aja nih berkat AI jadi penasaran gimana kalau kita pakai @asistenai buat bantu kerjaan sehari-hari ya? #AsistenAI,Danantara makin canggih aja nih berkat AI jadi penasaran gimana kalau kita pakai buat bantu kerjaan seharihari ya AsistenAI,0,2,False;
owh baru nyadar jir dia mundur dari danantara oke slay ,owh baru nyadar jir dia mundur dari danantara oke slay,2,0,False;
gak ada danantara pun emang swasta is better ,gak ada danantara pun emang swasta is better,0,2,False;
Lagi rame soal danantara pada mindahin dana tabungan dari bank bumn. Kalo kaya gitu kira2 mending alihkan dana ke bank swasta atau ke weverse shop ya?,Lagi rame soal danantara pada mindahin dana tabungan dari bank bumn Kalo kaya gitu kira2 mending alihkan dana ke bank swasta atau ke weverse shop ya,0,2,False;
Bca ga masuk danantara kan ya?,Bca ga masuk danantara kan ya,0,2,False;
@KangManto123 Belum setahun lamanya diangkat jadi salah seorang penasehat Dewan Danantara kok mundur ya ? BuzzeRP tau sebabnya pakar itu mundur ? Atau pakar tsb mungkin sudah memperkirakan bgaimna nasib Danantara kedepan atau ada faktor lainnya hingga ia gerah dikursi penasehat Danantara.,Belum setahun lamanya diangkat jadi salah seorang penasehat Dewan Danantara kok mundur ya BuzzeRP tau sebabnya pakar itu mundur Atau pakar tsb mungkin sudah memperkirakan bgaimna nasib Danantara kedepan atau ada faktor lainnya hingga ia gerah dikursi penasehat Danantara,2,0,False;
Terserah lu dah mau semua perusahaan di tanah air ini dikelola danantara apa gmn asal ada kebijakan kalo ada pegawai danantara yg korupsi lsg penggal. https://t.co/gZlWjgq0xF,Terserah lu dah mau semua perusahaan di tanah air ini dikelola danantara apa gmn asal ada kebijakan kalo ada pegawai danantara yg korupsi lsg penggal,2,0,False;
@dharmawansyaah Di sini isi khotbahnya menentang danantara Kak AHAHAHA. ,Di sini isi khotbahnya menentang danantara Kak AHAHAHA,2,0,False;
@imoartinyaubi i have an assumption yang ditarik dari bumn ke danantara juga titip2an lagi sih...,i have an assumption yang ditarik dari bumn ke danantara juga titip2an lagi sih,0,2,False;
Kontradiksi moral rencana kemitraan antara Danantara dengan BlackRock. Meskipun Indonesia secara konsisten menyuarakan solidaritas terhadap Palestina. BlackRock memiliki investasi di perusahaan senjata yang mendukung operasi militer Israel di Gaza https://t.co/ACIxoE8ZAg,Kontradiksi moral rencana kemitraan antara Danantara dengan BlackRock Meskipun Indonesia secara konsisten menyuarakan solidaritas terhadap Palestina BlackRock memiliki investasi di perusahaan senjata yang mendukung operasi militer Israel di Gaza,0,2,False;
@Jateng_Twit @Kemendag Politik bisnis bentar lg Sritex di ambil alih Danantara. Karena pengelolah nya orang super hebat cerdas lulusan UGM dan luar negeri,Politik bisnis bentar lg Sritex di ambil alih Danantara Karena pengelolah nya orang super hebat cerdas lulusan UGM dan luar negeri,2,0,False;
@Saham_fess Standarnya kan asal perusahaan gak macem2 ga ada korupsi dll Lah danantara...,Standarnya kan asal perusahaan gak macem2 ga ada korupsi dll Lah danantara,1,0,False;
1_2 Syawal: Anak-anak adalah pemerintah Orang tua adalah Danantara,12 Syawal Anakanak adalah pemerintah Orang tua adalah Danantara,2,0,False;
Unggahan Ray Dalio Peringatan Keras Danantara Punya Masalah Vlongha Vlongho,Unggahan Ray Dalio Peringatan Keras Danantara Punya Masalah Vlongha Vlongho,0,2,False;
@ARSIPAJA jalan panjang sritex dimulai dari pemilu kapolri wapressampai danantara https://t.co/B5HrUJrRS7 https://t.co/mOVtguoBQr,jalan panjang sritex dimulai dari pemilu kapolri wapressampai danantara,2,1,False;
@tham878 Antek asing ? Danantara banyak tuh asingnya. Elo nyindir Danantara? Wuih...hebat berani wkwkwk,Antek asing Danantara banyak tuh asingnya Elo nyindir Danantara Wuihhebat berani wkwkwk,2,0,False;
@gezzawooo iyaa mending uangmu trf ke jungwoo drpd ke danantara‍,iyaa mending uangmu trf ke jungwoo drpd ke danantara,0,2,False;
@nu_online Mitra pengemudi ojol di seluruh Indonesia jumlahnya jutaan . Mengapa tidak @KemenBUMN DANANTARA atau KOPERASI MERAH PUTIH punya aplikator ojol ? DARI RAKYAT OLEH RAKYAT UNTUK RAKYAT BUKAN UNTUK PEMERAS KERINGAT RAKYAT @prabowo @GrabID @gojekindonesia @Gerindra,Mitra pengemudi ojol di seluruh Indonesia jumlahnya jutaan Mengapa tidak DANANTARA atau KOPERASI MERAH PUTIH punya aplikator ojol DARI RAKYAT OLEH RAKYAT UNTUK RAKYAT BUKAN UNTUK PEMERAS KERINGAT RAKYAT,2,0,False;
Ke Danantara buat riset buku,Ke Danantara buat riset buku,0,1,False;
Bisa tidak pemerintah minta ganti 193 7 triliyun ke mereka yg telah merugikan negara? Trs masukin k Danantara jangan ke kas negara Bangsa &amp; negara Indonesia pasti terjamin dah #bangsa #bangsaIndonesia #bangsaIndonesiakorupsi #bangsaIndonesiakorupsiterbanyak,Bisa tidak pemerintah minta ganti 193 7 triliyun ke mereka yg telah merugikan negara Trs masukin k Danantara jangan ke kas negara Bangsa dan negara Indonesia pasti terjamin dah bangsa bangsaIndonesia bangsaIndonesiakorupsi bangsaIndonesiakorupsiterbanyak,1,0,False
Mundurnya Dalio disebut sebagai kemunduran bagi arah strategis Danantara. Seperti apa sosok Ray Dalio? https://t.co/ZGxINiLTP6,Mundurnya Dalio disebut sebagai kemunduran bagi arah strategis Danantara Seperti apa sosok Ray Dalio,0,2,False;
Siapa lagi yang kira-kira akan mundur dari Danantara https://t.co/kpa6hPukb1,Siapa lagi yang kirakira akan mundur dari Danantara,2,0,False;
@ArdyaDipta @tekarok007 @Intel_Imut Penggiringan opini anda mengaitkan Danantara sudah sangat jelas efeknya banyak kebencian yang muncul atas opini kebodohan anda ini https://t.co/l1EYQOM24g,Penggiringan opini anda mengaitkan Danantara sudah sangat jelas efeknya banyak kebencian yang muncul atas opini kebodohan anda ini,1,0,False;
Kerjasama Danantara &amp; negara maju Joint Fund Rp 67 5 Triliun Rupiah adalah bukti kepemimpinan Presiden Prabowo. #DanantaraUntukIndonesia https://t.co/tv9vzCUvOw,Kerjasama Danantara dan negara maju Joint Fund Rp 67 5 Triliun Rupiah adalah bukti kepemimpinan Presiden Prabowo DanantaraUntukIndonesia,1,2,False
@reaareaa__ Kalau udah didukung Presiden Prabowo Danantara pasti jadi sorotan,Kalau udah didukung Presiden Prabowo Danantara pasti jadi sorotan,1,2,False;
Rosan Jamin Danantara Bukan Lembaga yang Kebal Hukum https://t.co/nXmHEiaZP9,Rosan Jamin Danantara Bukan Lembaga yang Kebal Hukum,1,2,False;
@67fitriaNingsih @DS_yantie @prabowo Semoga Danantara jadi pijakan investasi ke depan.,Semoga Danantara jadi pijakan investasi ke depan,2,1,False;
Danantara bertujuan untuk mengkonsolidasi pengelolaan aset negara #BPIDanantara https://t.co/ApEY0gCHkr,Danantara bertujuan untuk mengkonsolidasi pengelolaan aset negara BPIDanantara,2,1,False;
@tijabar Tetep kawal Danantara tagih jawaban pemerintah atas tuntutan massa aksi Indonesia Gelap dan tetep kawal kasus Tom Lembong,Tetep kawal Danantara tagih jawaban pemerintah atas tuntutan massa aksi Indonesia Gelap dan tetep kawal kasus Tom Lembong,2,0,False;
@democrazymedia Percaya #Danantara? ,Percaya Danantara,2,0,False;
@DS_yantie Jelas ada harapan donk sama beliau... Dia ngomong tahun berapa Posisi apa Situasi ekonomi dan politik negara gimana.... Mis Danantara bank emas SDA yg mulai teliti dan dikelola baik Adalah harapan baru Jangan campur aduk jadi gak nyambung,Jelas ada harapan donk sama beliau Dia ngomong tahun berapa Posisi apa Situasi ekonomi dan politik negara gimana Mis Danantara bank emas SDA yg mulai teliti dan dikelola baik Adalah harapan baru Jangan campur aduk jadi gak nyambung,1,0,False;
Danantara Kepanjangan nya Dana antara kamu dan dia gitu ga artinya?,Danantara Kepanjangan nya Dana antara kamu dan dia gitu ga artinya,0,2,False;
CEO Badan Pengelola Investasi Daya Anagata Nusantara Rosan Perkasa Roeslani resmi mengumumkan struktur lengkap pengurus Danantara. #Loungepedia #ReadinPeace #ThaksinShinawatra #Thailand #Danantara #Prabowo #News https://t.co/pyM5j6Wcb3,CEO Badan Pengelola Investasi Daya Anagata Nusantara Rosan Perkasa Roeslani resmi mengumumkan struktur lengkap pengurus Danantara Loungepedia ReadinPeace ThaksinShinawatra Thailand Danantara Prabowo News,1,2,False;
@pakmul63 Melalui Luhut visi presiden terkait Indonesia 2030 terwujud Kegelapan Danantara,Melalui Luhut visi presiden terkait Indonesia 2030 terwujud Kegelapan Danantara,0,2,False;
Iya iya buzzernya masih lanjut sampe mau ngancurin indonesia cegah negara ini maju pindahkan keuntungannya kasih terus sentimen negatif hingga lemahkan pendapatan dalam negerinya. Btw danantara bisa jadi dilabeli negatif walau gak ada kasus korupsi (kemungkinan besar),Iya iya buzzernya masih lanjut sampe mau ngancurin indonesia cegah negara ini maju pindahkan keuntungannya kasih terus sentimen negatif hingga lemahkan pendapatan dalam negerinya Btw danantara bisa jadi dilabeli negatif walau gak ada kasus korupsi kemungkinan besar,2,0,False;
@ulfija Abis mundur dr danantara bgt lgs bikin ini? ,Abis mundur dr danantara bgt lgs bikin ini,2,0,False;
@tempodotco Danantara ditutup oleh pertamina. Sebenarnya sudah tau cuman kasusnya disimpan buat tutup2 isu ,Danantara ditutup oleh pertamina Sebenarnya sudah tau cuman kasusnya disimpan buat tutup2 isu,0,2,False;
@reaareaa__ Presiden Prabowo dan Danantara tuh kolaborasi yang ditunggu banget,Presiden Prabowo dan Danantara tuh kolaborasi yang ditunggu banget,1,2,False;
@irwndfrry Menariknya ini tuh kayak ada orang yang cukup powerful buat cepuin megakorupsi kaya gini either dari pihak prabowo sebagai oengalihan isu danantara atau dari pihak PDIP buat balas Sekjennya yang ditangkap ,Menariknya ini tuh kayak ada orang yang cukup powerful buat cepuin megakorupsi kaya gini either dari pihak prabowo sebagai oengalihan isu danantara atau dari pihak PDIP buat balas Sekjennya yang ditangkap,2,0,False;
Ekonom Ferry Latuhihin meminta CEO Danantara Rosan Roeslani untuk tahu malu usai mencuatnya unggahan dari konglomerat Investor senior asal Amerika Serikat dan pendiri Bridgewater Associates Ray Dalio.,Ekonom Ferry Latuhihin meminta CEO Danantara Rosan Roeslani untuk tahu malu usai mencuatnya unggahan dari konglomerat Investor senior asal Amerika Serikat dan pendiri Bridgewater Associates Ray Dalio,0,2,False;
ternyata danantara,ternyata danantara,0,2,False;
@FrediRandi4 Semangat positif Joint Fund Rp 67 5 T Danantara dengan global bener-bener hasil arahan Presiden Prabowo yang inspiratif,Semangat positif Joint Fund Rp 67 5 T Danantara dengan global benerbener hasil arahan Presiden Prabowo yang inspiratif,0,1,False;
@democrazymedia yess betul contohnya DANANTARA,yess betul contohnya DANANTARA,0,2,False;
@yudhakhel BCA ga ikut danantara kan?,BCA ga ikut danantara kan,0,2,False;
Lemahnya Tata Kelola BUMN Hardjuno Prediksi Danantara Berisiko Lebih Buruk dari BLBI https://t.co/l6nQc751GC,Lemahnya Tata Kelola BUMN Hardjuno Prediksi Danantara Berisiko Lebih Buruk dari BLBI,0,2,False;
@bagemeee Danantara mah cuman ajang bancakan para koruptor,Danantara mah cuman ajang bancakan para koruptor,0,0,True;
Danantara &amp; Pertalitemax,Danantara dan Pertalitemax,2,2,True
@DaulatNegeri @AyatMamas @jokowi Ya Jokowi sebagai patron Danantara bisa berbahaya. Kontroversi korupsi dan dinasti politiknya dapat merusak reputasi Danantara yang mengelola aset besar dan butuh integritas tinggi. Meski pengalamannya bisa menarik investor risiko mistrust publik dan tantangan operasional,Ya Jokowi sebagai patron Danantara bisa berbahaya Kontroversi korupsi dan dinasti politiknya dapat merusak reputasi Danantara yang mengelola aset besar dan butuh integritas tinggi Meski pengalamannya bisa menarik investor risiko mistrust publik dan tantangan operasional,0,0,True;
@JedTeguh03 Pak Prabowo support Danantara ngasih harapan baru buat kemajuan startup Indonesia,Pak Prabowo support Danantara ngasih harapan baru buat kemajuan startup Indonesia,1,1,True;
Miliarder Ray Dalio Batal Jadi Penasihat Danantara https://t.co/XZX1KgMcC7,Miliarder Ray Dalio Batal Jadi Penasihat Danantara,2,2,True;
Jangan sampai Danantara jadi juara pokoknya.. tim itu sudah masuk gelanggang,Jangan sampai Danantara jadi juara pokoknya tim itu sudah masuk gelanggang,0,0,True;
Bank of america tertarik kerja sama dengan Danantara #Danantara #KerjaSamaDanantara #InvestasiDanantara #DukungDanantara https://t.co/tT3F90MrGV,Bank of america tertarik kerja sama dengan Danantara Danantara KerjaSamaDanantara InvestasiDanantara DukungDanantara,1,1,True;
@chucil @Stockbit Dividend BUMN banyak dialihkan ke Danantara ga masuk ke apbn,Dividend BUMN banyak dialihkan ke Danantara ga masuk ke apbn,0,0,True;
@GenZNusantara Di bawah Rosan BPI Danantara siap jadi pelopor ekonomi maju,Di bawah Rosan BPI Danantara siap jadi pelopor ekonomi maju,1,1,True;
@FrediRandi4 Dukungan total dari Presiden Prabowo bikin Joint Fund Danantara global Rp 67 5 T jadi nyata dan bikin optimis,Dukungan total dari Presiden Prabowo bikin Joint Fund Danantara global Rp 67 5 T jadi nyata dan bikin optimis,1,1,True;
@JedTeguh03 Bangga punya Presiden Prabowo yang support Danantara cintanya ke produk lokal nggak diragukan,Bangga punya Presiden Prabowo yang support Danantara cintanya ke produk lokal nggak diragukan,1,1,True;
Transformasi pengelolaan investasi Indonesia dimulai dari Danantara yang adaptif dan inovatif #BPIDanantara #PembangunanNasional #SektorStrategis https://t.co/no4cU5eIDh,Transformasi pengelolaan investasi Indonesia dimulai dari Danantara yang adaptif dan inovatif BPIDanantara PembangunanNasional SektorStrategis,1,1,True;
Danantara ini kan imbasnya ke orang yg invest di saham bank kalo yg kubaca si emang nasabah ga kena cm yg punya shares di bank nya menjerit,Danantara ini kan imbasnya ke orang yg invest di saham bank kalo yg kubaca si emang nasabah ga kena cm yg punya shares di bank nya menjerit,2,2,True;
@berlianidris Turunin pajak balik ke 10 persen batalin MBG batalin Danantara,Turunin pajak balik ke 10 persen batalin MBG batalin Danantara,0,0,True;
@matildapuutrii Danantara lembaga investasi menjanjikan dalam Pertumbuhan Ekonomi Indonesia,Danantara lembaga investasi menjanjikan dalam Pertumbuhan Ekonomi Indonesia,1,1,True;
@StefanAntonio__ Dan kejutan pertama untuk Danantara korupsi Triliunan Pertamina.... Congrats ya ,Dan kejutan pertama untuk Danantara korupsi Triliunan Pertamina Congrats ya,0,0,True;
Jangan salah! Danantara hadir bukan untuk menyelamatkan BUMN yang sakit tapi untuk mengelola aset BUMN sehat agar lebih terarah &amp; efisien. Dengan total aset Rp9.480 triliun akankah ini jadi solusi ekonomi Indonesia? ðŸ‡®ðŸ‡© Saksikan selengkapnya hanya di https://t.co/Az6aJwKlke,Jangan salah Danantara hadir bukan untuk menyelamatkan BUMN yang sakit tapi untuk mengelola aset BUMN sehat agar lebih terarah dan efisien Dengan total aset Rp9480 triliun akankah ini jadi solusi ekonomi Indonesia Saksikan selengkapnya hanya di,2,2,True
@Boediantar4 Danantara dimulai ,Danantara dimulai,2,2,True;
@aniesbaswedan Lah pas banget tadi baca soal danantara ,Lah pas banget tadi baca soal danantara,2,2,True;
Peluncuran Danantara bukan hanya sebuah badan pengelola Investasi melainkan harusjadi instrumen pembangunan nasional yang akan mengoptimalkan cara kita mengelola kekayaan Indonesia #DanantaraPorosInvestasi https://t.co/k39KeJ2eZo,Peluncuran Danantara bukan hanya sebuah badan pengelola Investasi melainkan harusjadi instrumen pembangunan nasional yang akan mengoptimalkan cara kita mengelola kekayaan Indonesia DanantaraPorosInvestasi,1,1,True;
@MariaAlkaff_ Danantara untuk keberlangsungan illuminati.,Danantara untuk keberlangsungan illuminati,0,0,True;
BADAN Pengelola Investasi (BPI) Daya Anagata Nusantara (Danantara) mengumumkan penandatanganan Nota Kesepahaman (Memorandum of Understanding/MoU) dengan perusahaan pertambangan asal Prancis https://t.co/3LUVBLTSld,BADAN Pengelola Investasi BPI Daya Anagata Nusantara Danantara mengumumkan penandatanganan Nota Kesepahaman Memorandum of UnderstandingMoU dengan perusahaan pertambangan asal Prancis,2,2,True;
Lihat video raka_wong! #TikTok https://t.co/PeDDKUnpbE puasa sahur sabtu pertamina danantara phk ramadhan subuh #serunyapuasaramadhan1446h,Lihat video rakawong TikTok puasa sahur sabtu pertamina danantara phk ramadhan subuh serunyapuasaramadhan1446h,2,2,True;
@GenZNusantara IHSG jadi sorotan investor makin percaya! Kepastian dari Danantara dan hasil Himbara kasih optimisme baru,IHSG jadi sorotan investor makin percaya Kepastian dari Danantara dan hasil Himbara kasih optimisme baru,1,1,True;
Taunya korup utamanya di danantara,Taunya korup utamanya di danantara,0,0,True;
